ActivityID,MechanicID,LabourHours,RoleInActivity
1,35,5.07,Assistant Mechanic
2,6,4.29,Electric Specialist
2,17,7.34,Electric Specialist
2,40,6.95,Lead Mechanic
3,31,7.66,Inspector
3,36,7.93,Assistant Mechanic
3,8,7.75,Lead Mechanic
4,5,4.68,Assistant Mechanic
4,21,7.61,Electric Specialist
4,16,6.21,Inspector
5,38,2.62,Inspector
5,13,2.22,Assistant Mechanic
6,42,3.73,Electric Specialist
6,10,4.6,Inspector
7,26,5.99,Lead Mechanic
7,28,1.32,Inspector
8,26,5.34,Electric Specialist
8,36,7.4,Electric Specialist
9,43,3.28,Electric Specialist
9,4,6.87,Electric Specialist
10,5,4.03,Assistant Mechanic
11,40,6.99,Inspector
11,25,6.12,Electric Specialist
11,7,2.21,Electric Specialist
12,35,1.62,Electric Specialist
12,2,5.98,Assistant Mechanic
13,13,1.34,Electric Specialist
13,1,5.19,Inspector
14,24,1.29,Inspector
14,10,7.06,Electric Specialist
15,36,7.33,Inspector
15,38,1.96,Electric Specialist
16,19,5.66,Lead Mechanic
16,20,5.51,Inspector
16,15,1.3,Inspector
17,30,3.15,Inspector
17,37,7.6,Electric Specialist
18,36,6.99,Inspector
19,28,4.84,Electric Specialist
19,46,5.32,Lead Mechanic
19,29,3.08,Electric Specialist
20,13,5.37,Assistant Mechanic
21,15,7.05,Electric Specialist
21,11,2.12,Lead Mechanic
21,31,3.46,Inspector
22,32,3.88,Electric Specialist
22,14,5.6,Electric Specialist
22,37,3.25,Electric Specialist
23,32,4.5,Lead Mechanic
23,7,5.56,Electric Specialist
24,15,0.79,Electric Specialist
24,18,1.31,Electric Specialist
25,23,6.53,Inspector
25,8,3.64,Assistant Mechanic
25,6,6.66,Inspector
26,4,0.87,Lead Mechanic
26,27,0.76,Lead Mechanic
27,12,5.11,Electric Specialist
27,28,7.43,Assistant Mechanic
28,33,6.76,Assistant Mechanic
28,45,2.11,Assistant Mechanic
29,14,2.0,Electric Specialist
29,32,6.48,Assistant Mechanic
30,13,4.86,Lead Mechanic
30,27,6.16,Lead Mechanic
31,28,4.05,Electric Specialist
32,28,3.94,Inspector
33,38,5.29,Electric Specialist
33,6,6.54,Lead Mechanic
34,11,5.14,Assistant Mechanic
35,38,3.18,Lead Mechanic
35,17,7.09,Electric Specialist
35,44,2.57,Lead Mechanic
36,44,3.13,Lead Mechanic
36,7,3.74,Electric Specialist
37,11,2.99,Assistant Mechanic
37,36,0.88,Inspector
38,24,5.71,Electric Specialist
38,31,4.5,Inspector
39,12,6.99,Lead Mechanic
39,10,0.64,Electric Specialist
39,9,7.45,Inspector
40,44,5.35,Inspector
40,40,5.31,Inspector
40,31,2.54,Lead Mechanic
41,33,5.44,Lead Mechanic
42,19,7.59,Lead Mechanic
43,25,6.86,Assistant Mechanic
43,36,1.01,Electric Specialist
43,30,0.71,Electric Specialist
44,34,5.32,Lead Mechanic
44,31,7.69,Lead Mechanic
45,40,1.56,Lead Mechanic
45,25,7.67,Electric Specialist
46,10,2.26,Inspector
47,45,4.31,Electric Specialist
47,22,6.55,Lead Mechanic
48,44,3.55,Electric Specialist
48,41,3.18,Lead Mechanic
48,7,6.74,Electric Specialist
49,45,1.75,Assistant Mechanic
49,11,7.7,Lead Mechanic
50,25,0.71,Lead Mechanic
50,5,2.28,Lead Mechanic
50,44,5.82,Inspector
51,37,7.45,Assistant Mechanic
52,37,4.63,Inspector
52,17,4.47,Lead Mechanic
52,32,5.71,Electric Specialist
53,44,7.88,Assistant Mechanic
54,45,2.76,Electric Specialist
54,29,4.75,Inspector
55,20,2.84,Lead Mechanic
56,30,3.72,Electric Specialist
56,24,1.17,Electric Specialist
56,25,1.89,Assistant Mechanic
57,16,4.88,Assistant Mechanic
58,24,7.38,Electric Specialist
58,1,6.57,Lead Mechanic
58,8,0.8,Assistant Mechanic
59,7,3.44,Lead Mechanic
60,30,5.52,Lead Mechanic
60,10,7.04,Inspector
60,25,5.44,Lead Mechanic
