ActivityID,PartID,QuantityUsed,UnitCostAtTime
3,14,2,1133570.58
3,15,1,465902.95
4,2,1,122171.82
4,6,1,1358939.17
4,11,2,28395.97
4,16,5,2263267.98
5,2,5,118068.48
6,2,5,114676.58
6,10,1,2734579.83
6,14,2,1247553.45
7,10,3,2420849.34
7,15,3,414198.92
8,2,1,116615.51
8,14,3,1224894.25
8,6,1,1568919.54
9,5,1,711505.05
9,17,4,824184.04
9,12,3,2984466.61
9,15,5,484690.66
10,1,5,328460.2
10,17,1,818248.39
11,11,3,32911.33
12,14,1,1171230.29
13,10,3,2424580.13
13,16,3,2354753.52
13,9,3,3329165.0
15,12,2,2819118.33
15,17,2,839412.45
15,15,4,429295.3
15,10,5,2454199.89
16,18,1,56748.58
16,3,1,190981.65
17,10,3,2374418.07
17,15,5,483873.09
17,3,3,169654.56
18,17,4,969242.97
18,14,4,1114289.18
18,3,2,170878.59
19,15,5,428646.74
19,4,5,236564.82
19,8,5,2155736.22
19,14,2,1319358.19
20,4,5,239688.76
23,15,2,476287.14
24,15,5,410717.49
24,13,4,203835.54
24,5,4,653784.86
25,10,1,2693747.37
25,17,1,932707.87
25,3,5,189031.6
25,8,3,2029082.96
26,1,2,346760.66
26,10,3,2845381.81
26,16,2,2503840.84
28,1,5,357627.91
28,3,2,175460.9
29,15,5,490814.98
30,7,1,183562.01
30,11,4,27116.86
30,1,3,376510.53
30,2,3,113746.86
31,11,5,32681.7
33,8,1,2410313.18
33,1,5,368608.41
33,10,2,2683070.43
34,14,2,1143613.59
34,16,5,2461568.97
34,13,2,217156.54
34,15,2,469165.41
35,17,3,888858.02
35,2,5,118835.67
35,14,2,1133927.36
36,15,1,457947.78
36,9,2,3256601.67
40,10,1,2810818.41
41,10,1,2607361.18
41,6,3,1550693.33
42,4,5,222350.97
43,17,5,895080.78
43,11,4,31844.98
43,15,2,413489.32
43,16,4,2427148.78
44,2,4,128732.08
44,13,1,206934.58
44,17,1,820910.28
45,14,1,1139677.52
45,9,2,3223222.88
46,2,4,112403.71
47,9,2,3439671.01
47,17,1,889763.53
47,3,5,165524.71
48,4,1,262511.82
48,6,2,1399893.33
48,2,4,119552.6
48,11,4,32414.66
49,18,4,54025.86
50,16,3,2713259.04
50,6,4,1435574.77
50,13,5,206474.85
51,15,2,422090.81
51,16,2,2734354.68
51,4,5,251315.38
53,5,1,591518.5
53,2,4,120068.41
54,3,2,164047.66
54,18,5,54961.34
54,1,2,319796.49
54,8,1,2277093.52
55,4,4,221754.56
56,7,2,182841.09
56,4,1,245730.31
56,15,4,464163.58
56,5,5,652961.75
57,2,2,124073.42
57,7,3,170592.69
58,16,2,2585845.11
58,4,3,237946.78
58,7,1,162335.36
59,16,5,2748048.22
59,14,1,1209032.26
59,12,5,2668512.23
59,4,3,258281.48
60,2,3,114839.7
61,5,5,676460.19
61,1,5,383869.73
61,18,5,54093.88
62,6,3,1629526.81
62,7,1,195801.48
62,17,2,857603.87
62,2,1,125818.0
63,15,3,430358.06
64,1,3,329251.81
65,5,5,648509.14
65,11,1,27553.79
66,3,3,163587.12
66,17,3,948801.46
66,8,3,2051096.07
67,5,5,676736.77
67,8,5,1984254.67
67,6,1,1633515.28
68,18,5,54432.34
69,18,5,60630.3
69,3,4,166588.04
70,4,3,259151.11
70,13,1,215956.99
71,7,2,186009.6
72,5,5,699937.51
72,13,4,218953.48
73,17,2,965629.03
74,9,4,2895863.27
75,5,4,689290.57
75,12,2,2669411.2
77,15,1,482273.39
77,17,2,845923.11
77,5,4,630455.6
78,16,2,2261832.22
79,2,4,115878.29
81,18,3,61697.78
81,13,4,207180.72
82,15,3,489531.34
82,13,1,215081.54
82,1,3,327499.75
82,14,3,1089181.73
83,12,4,2713584.78
83,4,3,236946.91
83,16,5,2307822.89
83,17,5,844214.18
85,1,1,351394.42
85,10,5,2697165.72
85,7,2,175111.97
87,12,5,2695792.76
87,16,1,2609877.13
88,13,5,192371.39
88,2,4,115828.39
89,2,5,111054.91
89,14,4,1239583.06
90,17,2,920792.68
90,1,3,343425.26
90,12,1,2690169.97
91,5,4,687148.65
92,13,3,198599.53
92,10,4,2691326.16
92,18,5,59678.23
92,4,2,247624.84
93,10,5,2685203.99
