DriverID,CertificationID,IssueDate,ExpiryDate
1,1,2018-06-05,2028-09-04
1,2,2019-10-30,2028-03-06
1,3,2025-09-10,2030-05-18
2,1,2018-12-15,2030-02-24
2,2,2019-09-10,2028-12-06
2,3,2024-06-09,2028-09-08
2,4,2017-11-07,2030-05-01
3,1,2025-12-06,2027-05-25
3,2,2017-06-06,2031-02-28
4,1,2016-10-26,2027-05-10
5,1,2020-08-03,2027-12-23
5,2,2023-06-26,2030-09-10
6,1,2024-10-04,2028-05-19
6,2,2023-05-23,2027-01-23
7,1,2019-05-16,2029-10-14
7,2,2016-08-09,2029-11-18
7,3,2021-01-29,2030-06-07
8,1,2021-06-03,2030-02-28
8,2,2026-01-09,2030-09-14
9,1,2019-03-15,2028-03-05
10,1,2021-08-13,2028-05-31
11,1,2017-07-25,2031-06-28
12,1,2025-10-17,2027-01-30
12,4,2021-11-26,2027-01-18
13,1,2017-06-03,2031-07-13
13,2,2024-09-05,2030-11-03
13,3,2025-08-09,2027-11-26
14,1,2017-07-15,2030-11-18
15,1,2017-12-06,2028-02-22
16,1,2017-09-25,2027-02-21
17,1,2020-07-27,2029-12-30
17,2,2018-08-10,2031-05-29
18,1,2020-10-03,2031-06-27
19,1,2017-03-30,2027-04-05
19,2,2023-09-13,2031-07-12
19,4,2026-03-09,2031-01-04
20,1,2021-12-13,2028-10-12
20,2,2020-01-17,2029-03-27
21,1,2020-08-18,2028-10-27
21,2,2023-04-21,2027-09-04
22,1,2021-09-03,2030-06-14
23,1,2021-12-12,2027-03-07
23,2,2016-09-22,2030-06-17
23,4,2026-02-23,2027-05-31
23,5,2017-10-25,2031-02-19
24,1,2020-03-12,2030-11-12
25,1,2021-01-29,2027-09-09
26,1,2022-07-04,2027-02-23
26,2,2020-09-21,2029-09-15
27,1,2021-06-01,2027-11-27
27,2,2024-01-09,2031-03-08
28,1,2021-09-18,2031-01-23
28,2,2016-09-13,2031-04-13
29,1,2021-08-30,2027-06-11
29,2,2018-11-08,2028-10-23
30,1,2018-07-14,2027-06-22
30,2,2025-12-24,2027-11-19
31,1,2021-03-15,2028-12-16
31,2,2020-02-25,2029-06-24
32,1,2020-01-13,2028-10-22
32,2,2025-03-02,2030-09-19
33,1,2020-11-03,2026-12-29
34,1,2018-02-20,2030-03-02
35,1,2021-04-11,2026-12-08
35,2,2016-08-18,2029-05-26
36,1,2018-10-17,2028-10-15
36,2,2019-04-27,2030-04-27
36,3,2025-12-15,2030-03-14
37,1,2026-02-10,2026-08-24
37,2,2018-06-22,2027-03-15
37,5,2019-02-08,2031-03-16
38,1,2017-03-07,2029-09-14
38,2,2026-06-24,2031-04-06
39,1,2019-02-02,2030-03-21
39,2,2018-09-26,2026-12-01
39,3,2021-10-24,2029-08-30
40,1,2017-03-31,2029-08-09
40,2,2020-02-22,2028-09-07
41,1,2018-04-26,2029-07-27
41,2,2026-02-03,2030-01-07
42,1,2019-03-14,2028-07-29
42,2,2019-05-02,2028-01-26
42,3,2023-08-01,2026-10-10
43,1,2019-08-15,2029-05-22
43,2,2023-07-29,2028-09-03
43,3,2021-02-08,2027-12-01
44,1,2018-05-29,2029-10-25
44,2,2017-03-24,2030-07-26
44,3,2020-05-09,2028-04-05
44,4,2024-05-26,2029-07-15
45,1,2021-10-05,2028-07-01
46,1,2020-05-12,2026-10-06
46,4,2019-11-09,2029-12-13
47,1,2022-02-25,2028-12-06
47,4,2017-10-01,2028-12-08
48,1,2022-07-17,2030-11-23
49,1,2023-05-15,2031-02-14
49,2,2022-03-15,2026-10-18
49,3,2018-07-13,2028-10-13
50,1,2019-08-10,2031-07-02
50,2,2021-01-31,2026-11-20
51,1,2018-05-31,2030-04-05
52,1,2022-06-14,2029-03-25
52,2,2023-12-29,2030-11-29
52,3,2018-07-15,2029-11-02
53,1,2026-05-18,2028-03-06
53,2,2020-11-25,2026-12-09
54,1,2023-12-27,2026-07-30
54,2,2025-05-31,2031-02-21
55,1,2019-12-03,2029-08-29
55,2,2023-11-27,2027-02-27
56,1,2022-03-09,2029-03-26
56,2,2018-09-09,2029-02-12
56,3,2025-03-13,2029-03-11
57,1,2023-07-08,2029-05-03
57,2,2023-06-01,2029-01-28
58,1,2025-12-31,2027-08-24
58,2,2019-11-01,2030-02-20
59,1,2023-01-07,2028-01-16
59,2,2026-04-02,2029-02-14
60,1,2023-06-24,2031-03-23
60,2,2016-07-29,2029-02-23
61,1,2021-06-13,2028-05-08
61,2,2023-11-19,2031-06-30
62,1,2022-01-19,2030-07-08
63,1,2024-02-01,2030-04-28
63,2,2020-03-15,2030-11-29
64,1,2024-08-14,2028-01-03
65,1,2018-01-04,2028-12-22
66,1,2025-05-03,2029-05-31
66,2,2018-02-27,2028-07-23
67,1,2021-11-06,2028-06-21
67,2,2019-12-16,2027-10-25
68,1,2016-12-25,2026-12-15
68,2,2020-09-25,2030-08-09
68,3,2017-10-22,2030-06-08
69,1,2023-08-15,2031-06-17
69,2,2019-11-17,2029-10-29
69,3,2024-12-23,2029-12-17
69,4,2020-09-20,2027-10-26
70,1,2016-08-30,2027-06-21
70,2,2023-10-20,2028-06-03
71,1,2019-07-24,2030-12-20
71,2,2024-06-21,2026-12-28
71,4,2026-01-19,2028-09-06
72,1,2018-08-20,2030-06-12
72,2,2018-11-02,2030-07-07
73,1,2025-08-09,2031-04-26
74,1,2021-12-19,2030-04-30
75,1,2025-02-26,2030-03-11
75,4,2025-11-21,2030-05-10
76,1,2019-04-11,2030-08-07
76,4,2024-03-23,2028-10-07
77,1,2020-10-10,2028-12-02
77,2,2025-06-09,2030-09-07
77,3,2020-08-21,2028-11-24
78,1,2024-01-20,2027-03-22
79,1,2021-06-06,2028-07-22
79,2,2021-03-11,2029-06-02
79,3,2022-01-03,2031-02-27
80,1,2017-12-09,2027-09-27
80,2,2019-02-19,2028-07-12
80,3,2023-02-01,2027-11-11
81,1,2020-03-17,2027-02-09
81,2,2023-08-17,2030-01-11
81,5,2022-03-14,2031-03-06
82,1,2024-06-30,2030-02-05
82,2,2017-08-17,2028-04-27
82,3,2023-09-19,2029-11-16
83,1,2026-07-04,2026-09-23
83,2,2026-05-13,2029-10-18
83,4,2024-09-06,2026-08-12
84,1,2022-07-21,2029-02-06
84,2,2023-03-16,2030-02-15
84,3,2025-09-22,2031-03-17
85,1,2020-04-27,2030-09-18
85,2,2020-04-20,2028-11-18
86,1,2023-12-26,2030-09-10
87,1,2017-01-23,2029-11-14
87,2,2022-04-15,2030-01-01
87,4,2019-05-18,2030-07-16
88,1,2018-09-28,2031-02-08
88,2,2017-01-10,2029-11-30
89,1,2026-03-04,2026-10-17
90,1,2017-12-30,2030-03-17
90,2,2018-11-17,2030-06-28
91,1,2019-08-30,2026-12-28
92,1,2020-12-29,2029-10-14
92,2,2022-02-20,2028-05-12
93,1,2024-04-21,2029-05-05
94,1,2022-04-24,2029-10-14
94,2,2021-04-21,2030-02-23
94,4,2020-11-10,2027-04-05
94,5,2024-07-27,2026-09-23
95,1,2025-09-29,2027-01-02
96,1,2022-07-10,2028-06-20
97,1,2017-09-26,2026-11-27
98,1,2017-02-04,2028-08-31
99,1,2019-12-17,2026-09-26
99,2,2019-02-28,2028-08-04
100,1,2018-09-19,2030-08-04
100,2,2018-07-07,2031-05-12
101,1,2020-04-11,2030-07-08
102,1,2020-12-05,2029-09-13
103,1,2019-06-04,2027-07-15
104,1,2019-05-10,2029-03-17
105,1,2018-05-29,2031-06-26
106,1,2017-01-02,2029-03-20
106,2,2026-05-13,2029-10-03
107,1,2023-04-26,2028-04-01
107,2,2017-11-11,2028-08-17
108,1,2018-04-21,2029-02-15
108,2,2018-08-18,2031-05-18
109,1,2017-04-08,2029-07-07
110,1,2025-08-19,2030-03-16
111,1,2022-11-15,2027-02-24
111,2,2025-03-05,2029-06-19
111,5,2016-10-13,2030-02-19
112,1,2024-11-28,2027-06-17
112,2,2023-12-11,2029-08-23
113,1,2024-05-22,2027-11-12
113,2,2023-12-24,2028-01-23
114,1,2025-06-12,2028-11-10
114,2,2025-09-22,2030-09-04
115,1,2024-06-23,2030-04-08
115,2,2021-02-18,2029-04-21
116,1,2020-09-29,2027-04-20
117,1,2021-04-25,2030-05-25
