ScoreID,DriverID,ScoreMonth,ScoreYear,StartingScore,TotalPenalty,HarshBrakingCount,SpeedingCount,FatigueWarningCount,CriticalEventCount,FinalScore,RequiresCoaching,AssignmentBlocked
1,2,7,2026,100,50,0,0,1,0,50,True,False
2,3,1,2018,100,20,0,1,0,0,80,False,False
3,3,2,2018,100,20,0,0,0,0,80,False,False
4,3,2,2019,100,10,1,0,0,0,90,False,False
5,3,2,2021,100,10,0,0,0,0,90,False,False
6,3,2,2022,100,10,0,0,0,0,90,False,False
7,3,3,2018,100,30,1,2,0,0,70,False,False
8,3,3,2022,100,10,0,1,0,0,90,False,False
9,3,3,2024,100,10,1,0,0,0,90,False,False
10,3,3,2026,100,10,0,0,0,0,90,False,False
11,3,4,2018,100,20,0,1,0,0,80,False,False
12,3,4,2019,100,20,1,1,0,0,80,False,False
13,3,4,2026,100,15,0,0,0,0,85,False,False
14,3,5,2018,100,10,1,0,0,0,90,False,False
15,3,5,2021,100,10,1,0,0,0,90,False,False
16,3,6,2021,100,5,0,0,0,0,95,False,False
17,3,6,2026,100,20,0,0,1,0,80,False,False
18,3,7,2018,100,10,0,1,0,0,90,False,False
19,3,7,2021,100,10,0,0,0,0,90,False,False
20,3,8,2018,100,10,0,0,0,0,90,False,False
21,3,8,2019,100,10,0,0,0,0,90,False,False
22,3,8,2022,100,60,0,1,1,0,40,True,True
23,3,9,2018,100,10,0,1,0,0,90,False,False
24,3,9,2021,100,5,0,0,0,0,95,False,False
25,3,9,2022,100,20,0,0,1,0,80,False,False
26,3,9,2024,100,25,1,1,0,0,75,False,False
27,3,11,2020,100,10,0,1,0,0,90,False,False
28,3,11,2022,100,10,0,0,0,0,90,False,False
29,3,12,2017,100,5,0,0,0,0,95,False,False
30,3,12,2022,100,10,0,0,0,0,90,False,False
31,3,12,2025,100,10,0,0,0,0,90,False,False
32,4,5,2026,100,5,0,0,0,0,95,False,False
33,4,7,2026,100,35,0,0,1,0,65,True,False
34,5,1,2022,100,40,1,0,1,0,60,True,False
35,5,2,2022,100,20,0,0,1,0,80,False,False
36,5,3,2022,100,20,1,1,0,0,80,False,False
37,5,3,2025,100,10,1,0,0,0,90,False,False
38,5,3,2027,100,5,0,0,0,0,95,False,False
39,5,4,2022,100,10,1,0,0,0,90,False,False
40,5,4,2026,100,25,1,1,0,0,75,False,False
41,5,5,2022,100,10,0,0,0,0,90,False,False
42,5,5,2025,100,35,1,0,1,0,65,True,False
43,5,5,2026,100,5,0,0,0,0,95,False,False
44,5,6,2025,100,25,0,0,1,0,75,False,False
45,5,6,2027,100,10,1,0,0,0,90,False,False
46,5,7,2022,100,20,0,1,0,0,80,False,False
47,5,7,2026,100,10,1,0,0,0,90,False,False
48,5,8,2025,100,55,0,1,1,0,45,True,True
49,5,8,2026,100,10,1,0,0,0,90,False,False
50,5,9,2022,100,10,1,0,0,0,90,False,False
51,5,10,2021,100,15,0,1,0,0,85,False,False
52,5,10,2025,100,10,0,0,0,0,90,False,False
53,5,11,2021,100,20,1,0,0,0,80,False,False
54,5,11,2024,100,10,1,0,0,0,90,False,False
55,5,11,2025,100,5,0,0,0,0,95,False,False
56,5,12,2021,100,5,0,0,0,0,95,False,False
57,6,1,2024,100,10,1,0,0,0,90,False,False
58,6,2,2024,100,20,2,0,0,0,80,False,False
59,6,2,2025,100,10,0,1,0,0,90,False,False
60,6,3,2025,100,10,0,1,0,0,90,False,False
61,6,3,2026,100,30,0,1,1,0,70,False,False
62,7,1,2019,100,20,0,1,0,0,80,False,False
63,7,3,2019,100,50,0,2,0,0,50,True,False
64,7,3,2025,100,20,0,0,1,0,80,False,False
65,7,3,2026,100,10,0,1,0,0,90,False,False
66,7,5,2025,100,10,0,0,0,0,90,False,False
67,7,6,2026,100,20,0,1,0,0,80,False,False
68,7,7,2025,100,30,2,1,0,0,70,False,False
69,7,7,2026,100,55,2,0,0,0,45,True,True
70,7,11,2024,100,10,1,0,0,0,90,False,False
71,8,1,2019,100,10,1,0,0,0,90,False,False
72,8,2,2020,100,20,0,0,1,0,80,False,False
73,8,2,2023,100,10,0,1,0,0,90,False,False
74,8,3,2019,100,10,1,0,0,0,90,False,False
75,8,3,2020,100,10,1,0,0,0,90,False,False
76,8,4,2017,100,10,0,1,0,0,90,False,False
77,8,4,2021,100,10,1,0,0,0,90,False,False
78,8,4,2022,100,10,0,1,0,0,90,False,False
79,8,5,2017,100,5,0,0,0,0,95,False,False
80,8,5,2018,100,30,0,1,1,0,70,False,False
81,8,5,2019,100,10,0,0,0,0,90,False,False
82,8,5,2020,100,10,1,0,0,0,90,False,False
83,8,6,2026,100,10,0,1,0,0,90,False,False
84,8,7,2021,100,10,0,1,0,0,90,False,False
85,8,7,2026,100,10,0,0,0,0,90,False,False
86,8,8,2020,100,10,1,0,0,0,90,False,False
87,8,8,2022,100,10,0,0,0,0,90,False,False
88,8,9,2017,100,5,0,0,0,0,95,False,False
89,8,9,2020,100,20,0,0,0,0,80,False,False
90,8,9,2021,100,10,1,0,0,0,90,False,False
91,8,10,2019,100,10,0,1,0,0,90,False,False
92,8,10,2020,100,20,0,0,0,0,80,False,False
93,8,10,2022,100,35,0,0,1,0,65,True,False
94,8,11,2019,100,10,0,1,0,0,90,False,False
95,8,11,2022,100,10,0,1,0,0,90,False,False
96,8,12,2019,100,25,0,0,0,0,75,False,False
97,8,12,2021,100,30,0,1,0,0,70,False,False
98,8,12,2022,100,20,0,0,1,0,80,False,False
99,9,1,2018,100,20,0,0,0,0,80,False,False
100,9,1,2026,100,5,0,0,0,0,95,False,False
101,9,2,2018,100,20,0,0,0,0,80,False,False
102,9,2,2026,100,40,1,1,1,0,60,True,False
103,9,3,2026,100,40,0,1,0,0,60,True,False
104,9,4,2018,100,10,0,1,0,0,90,False,False
105,9,4,2026,100,10,1,0,0,0,90,False,False
106,9,5,2018,100,5,0,0,0,0,95,False,False
107,9,5,2026,100,15,0,1,0,0,85,False,False
108,9,6,2026,100,10,0,0,0,0,90,False,False
109,9,7,2026,100,30,0,2,0,0,70,False,False
110,10,1,2019,100,5,0,0,0,0,95,False,False
111,10,1,2020,100,5,0,0,0,0,95,False,False
112,10,1,2023,100,15,0,0,0,0,85,False,False
113,10,2,2019,100,10,1,0,0,0,90,False,False
114,10,2,2022,100,10,0,1,0,0,90,False,False
115,10,2,2024,100,20,0,0,1,0,80,False,False
116,10,3,2024,100,10,0,1,0,0,90,False,False
117,10,4,2019,100,10,0,1,0,0,90,False,False
118,10,4,2022,100,10,0,1,0,0,90,False,False
119,10,5,2022,100,20,0,0,1,0,80,False,False
120,10,6,2019,100,10,0,0,0,0,90,False,False
121,10,6,2023,100,10,1,0,0,0,90,False,False
122,10,7,2019,100,10,1,0,0,0,90,False,False
123,10,7,2022,100,10,1,0,0,0,90,False,False
124,10,8,2019,100,20,1,1,0,0,80,False,False
125,10,9,2019,100,10,1,0,0,0,90,False,False
126,10,9,2022,100,10,1,0,0,0,90,False,False
127,10,9,2023,100,10,0,1,0,0,90,False,False
128,10,10,2018,100,20,1,1,0,0,80,False,False
129,10,10,2019,100,10,0,0,0,0,90,False,False
130,10,10,2020,100,10,0,1,0,0,90,False,False
131,10,10,2022,100,30,0,0,1,0,70,False,False
132,10,10,2023,100,10,1,0,0,0,90,False,False
133,10,11,2022,100,20,0,1,0,0,80,False,False
134,10,12,2018,100,20,0,0,0,0,80,False,False
135,10,12,2021,100,15,0,0,0,0,85,False,False
136,10,12,2022,100,20,1,1,0,0,80,False,False
137,10,12,2023,100,15,0,1,0,0,85,False,False
138,11,1,2018,100,10,1,0,0,0,90,False,False
139,11,1,2019,100,10,1,0,0,0,90,False,False
140,11,1,2025,100,10,0,1,0,0,90,False,False
141,11,2,2019,100,30,1,2,0,0,70,False,False
142,11,2,2020,100,10,0,1,0,0,90,False,False
143,11,2,2025,100,20,1,1,0,0,80,False,False
144,11,3,2017,100,20,1,1,0,0,80,False,False
145,11,3,2018,100,10,0,1,0,0,90,False,False
146,11,3,2019,100,20,0,0,0,0,80,False,False
147,11,3,2020,100,10,1,0,0,0,90,False,False
148,11,3,2025,100,50,2,1,0,0,50,True,False
149,11,4,2017,100,10,0,1,0,0,90,False,False
150,11,4,2018,100,20,0,0,0,0,80,False,False
151,11,4,2019,100,50,0,5,0,0,50,True,False
152,11,4,2025,100,5,0,0,0,0,95,False,False
153,11,5,2017,100,20,0,0,1,0,80,False,False
154,11,5,2018,100,10,0,0,0,0,90,False,False
155,11,5,2019,100,20,0,2,0,0,80,False,False
156,11,5,2025,100,10,0,1,0,0,90,False,False
157,11,6,2018,100,10,1,0,0,0,90,False,False
158,11,6,2019,100,10,0,1,0,0,90,False,False
159,11,6,2024,100,20,0,0,1,0,80,False,False
160,11,6,2025,100,10,1,0,0,0,90,False,False
161,11,7,2017,100,10,0,1,0,0,90,False,False
162,11,7,2018,100,20,0,1,0,0,80,False,False
163,11,7,2022,100,10,0,1,0,0,90,False,False
164,11,7,2024,100,10,0,1,0,0,90,False,False
165,11,8,2017,100,5,0,0,0,0,95,False,False
166,11,8,2018,100,15,0,0,0,0,85,False,False
167,11,8,2022,100,30,0,1,1,0,70,False,False
168,11,8,2025,100,75,0,3,0,0,25,True,True
169,11,9,2017,100,40,1,0,0,0,60,True,False
170,11,9,2022,100,5,0,0,0,0,95,False,False
171,11,9,2023,100,10,1,0,0,0,90,False,False
172,11,9,2025,100,10,0,1,0,0,90,False,False
173,11,10,2017,100,10,1,0,0,0,90,False,False
174,11,11,2017,100,20,0,0,0,0,80,False,False
175,11,11,2022,100,10,0,0,0,0,90,False,False
176,11,11,2023,100,10,0,1,0,0,90,False,False
177,11,11,2024,100,10,0,0,0,0,90,False,False
178,11,12,2017,100,20,0,0,1,0,80,False,False
179,11,12,2018,100,20,0,1,0,0,80,False,False
180,11,12,2019,100,10,0,1,0,0,90,False,False
181,12,1,2022,100,30,1,0,0,0,70,False,False
182,12,2,2019,100,10,1,0,0,0,90,False,False
183,12,2,2026,100,15,1,0,0,0,85,False,False
184,12,3,2019,100,20,0,1,0,0,80,False,False
185,12,4,2019,100,10,0,1,0,0,90,False,False
186,12,5,2022,100,10,0,0,0,0,90,False,False
187,12,5,2026,100,20,0,1,0,0,80,False,False
188,12,6,2026,100,10,0,1,0,0,90,False,False
189,12,7,2019,100,10,0,1,0,0,90,False,False
190,12,7,2026,100,40,1,2,0,0,60,True,False
191,12,8,2026,100,10,0,1,0,0,90,False,False
192,12,9,2018,100,10,0,0,0,0,90,False,False
193,12,10,2022,100,20,0,0,1,0,80,False,False
194,12,10,2025,100,10,0,0,0,0,90,False,False
195,12,11,2019,100,5,0,0,0,0,95,False,False
196,12,11,2025,100,5,0,0,0,0,95,False,False
197,12,12,2019,100,10,0,0,0,0,90,False,False
198,12,12,2025,100,5,0,0,0,0,95,False,False
199,14,1,2021,100,20,0,0,1,0,80,False,False
200,14,2,2020,100,5,0,0,0,0,95,False,False
201,14,3,2018,100,10,0,0,0,0,90,False,False
202,14,3,2021,100,10,1,0,0,0,90,False,False
203,14,3,2026,100,20,1,1,0,0,80,False,False
204,14,4,2018,100,5,0,0,0,0,95,False,False
205,14,5,2018,100,10,0,0,0,0,90,False,False
206,14,6,2018,100,40,0,2,1,0,60,True,False
207,14,7,2018,100,10,0,1,0,0,90,False,False
208,14,8,2020,100,5,0,0,0,0,95,False,False
209,14,10,2017,100,40,0,0,1,0,60,True,False
210,14,10,2018,100,10,1,0,0,0,90,False,False
211,14,10,2025,100,10,1,0,0,0,90,False,False
212,14,12,2025,100,10,0,1,0,0,90,False,False
213,15,4,2026,100,10,0,1,0,0,90,False,False
214,15,6,2026,100,10,0,1,0,0,90,False,False
215,15,11,2025,100,20,0,0,1,0,80,False,False
216,16,1,2017,100,30,1,0,1,0,70,False,False
217,16,2,2017,100,20,1,1,0,0,80,False,False
218,16,2,2020,100,10,0,0,0,0,90,False,False
219,16,3,2019,100,10,0,1,0,0,90,False,False
220,16,4,2017,100,10,0,1,0,0,90,False,False
221,16,4,2019,100,10,0,1,0,0,90,False,False
222,16,5,2019,100,10,0,1,0,0,90,False,False
223,16,7,2019,100,20,0,0,1,0,80,False,False
224,16,9,2019,100,10,1,0,0,0,90,False,False
225,16,10,2019,100,15,0,0,0,0,85,False,False
226,16,10,2025,100,15,0,0,0,0,85,False,False
227,16,11,2018,100,20,0,0,1,0,80,False,False
228,16,12,2018,100,20,0,0,1,0,80,False,False
229,19,1,2026,100,20,0,1,0,0,80,False,False
230,19,3,2025,100,10,0,1,0,0,90,False,False
231,19,4,2026,100,20,2,0,0,0,80,False,False
232,19,5,2026,100,10,0,1,0,0,90,False,False
233,19,6,2026,100,10,0,1,0,0,90,False,False
234,19,7,2025,100,10,0,1,0,0,90,False,False
235,19,12,2025,100,30,0,0,1,0,70,False,False
236,20,1,2017,100,5,0,0,0,0,95,False,False
237,20,1,2022,100,15,1,0,0,0,85,False,False
238,20,1,2023,100,20,0,1,0,0,80,False,False
239,20,1,2024,100,5,0,0,0,0,95,False,False
240,20,1,2025,100,10,1,0,0,0,90,False,False
241,20,2,2018,100,10,0,0,0,0,90,False,False
242,20,2,2020,100,20,0,2,0,0,80,False,False
243,20,2,2021,100,5,0,0,0,0,95,False,False
244,20,2,2022,100,5,0,0,0,0,95,False,False
245,20,2,2023,100,20,0,0,1,0,80,False,False
246,20,3,2020,100,35,1,1,0,0,65,True,False
247,20,3,2023,100,10,0,1,0,0,90,False,False
248,20,3,2024,100,40,1,1,1,0,60,True,False
249,20,4,2017,100,5,0,0,0,0,95,False,False
250,20,4,2020,100,15,1,0,0,0,85,False,False
251,20,4,2022,100,10,1,0,0,0,90,False,False
252,20,4,2024,100,25,0,0,1,0,75,False,False
253,20,5,2020,100,10,0,1,0,0,90,False,False
254,20,5,2023,100,5,0,0,0,0,95,False,False
255,20,5,2024,100,10,0,1,0,0,90,False,False
256,20,6,2017,100,50,1,1,1,0,50,True,False
257,20,6,2023,100,40,0,0,2,0,60,True,False
258,20,6,2024,100,35,0,2,0,0,65,True,False
259,20,7,2017,100,20,0,0,0,0,80,False,False
260,20,7,2024,100,15,0,1,0,0,85,False,False
261,20,8,2017,100,10,0,0,0,0,90,False,False
262,20,8,2021,100,10,1,0,0,0,90,False,False
263,20,8,2023,100,5,0,0,0,0,95,False,False
264,20,8,2024,100,15,0,0,0,0,85,False,False
265,20,9,2022,100,25,0,1,0,0,75,False,False
266,20,9,2024,100,10,0,0,0,0,90,False,False
267,20,10,2016,100,10,1,0,0,0,90,False,False
268,20,10,2018,100,15,0,0,0,0,85,False,False
269,20,10,2022,100,15,1,0,0,0,85,False,False
270,20,11,2018,100,5,0,0,0,0,95,False,False
271,20,11,2021,100,10,0,1,0,0,90,False,False
272,20,11,2024,100,15,0,1,0,0,85,False,False
273,20,12,2016,100,10,0,1,0,0,90,False,False
274,20,12,2018,100,10,0,1,0,0,90,False,False
275,20,12,2019,100,40,0,0,1,0,60,True,False
276,20,12,2021,100,10,0,0,0,0,90,False,False
277,20,12,2023,100,20,0,0,0,0,80,False,False
278,20,12,2024,100,5,0,0,0,0,95,False,False
279,22,1,2019,100,10,0,1,0,0,90,False,False
280,22,2,2026,100,20,0,0,0,0,80,False,False
281,22,3,2019,100,20,0,1,0,0,80,False,False
282,22,3,2021,100,10,0,1,0,0,90,False,False
283,22,4,2019,100,10,0,1,0,0,90,False,False
284,22,4,2020,100,10,0,0,0,0,90,False,False
285,22,6,2018,100,30,0,0,0,0,70,False,False
286,22,6,2019,100,10,1,0,0,0,90,False,False
287,22,6,2020,100,5,0,0,0,0,95,False,False
288,22,6,2026,100,30,0,0,0,0,70,False,False
289,22,7,2018,100,20,0,2,0,0,80,False,False
290,22,8,2020,100,10,0,1,0,0,90,False,False
291,22,9,2018,100,5,0,0,0,0,95,False,False
292,22,10,2020,100,30,0,1,0,0,70,False,False
293,22,12,2020,100,20,1,0,0,0,80,False,False
294,23,1,2022,100,10,0,0,0,0,90,False,False
295,23,1,2024,100,10,0,1,0,0,90,False,False
296,23,2,2023,100,15,0,1,0,0,85,False,False
297,23,2,2026,100,5,0,0,0,0,95,False,False
298,23,3,2020,100,10,1,0,0,0,90,False,False
299,23,3,2023,100,20,0,0,1,0,80,False,False
300,23,3,2026,100,10,0,0,0,0,90,False,False
301,23,4,2026,100,10,0,0,0,0,90,False,False
