ActivityID,JobID,ActivityNo,ActivityTypeID,DiagnosticResult,RepeatFault,WarrantyIndicator,ActivityStatus
1,1,1,5,Normal wear detected,False,False,Completed
2,1,2,7,Electrical fault identified,True,False,Completed
3,1,3,8,Engine oil replacement,True,False,Pending
4,1,4,1,Tyre replacement required,True,False,Completed
5,1,5,9,Cooling system checked,True,False,In Progress
6,2,1,1,Cooling system checked,True,False,In Progress
7,2,2,4,Electrical fault identified,True,False,Completed
8,3,1,5,Brake system inspection,True,True,Completed
9,3,2,2,Tyre replacement required,False,False,Pending
10,3,3,9,Electrical fault identified,True,False,Completed
11,3,4,1,Electrical fault identified,True,False,Completed
12,4,1,7,Engine oil replacement,True,False,In Progress
13,4,2,10,Routine preventive maintenance,True,True,Completed
14,4,3,4,Cooling system checked,True,False,In Progress
15,4,4,5,Brake system inspection,True,False,Pending
16,4,5,8,Routine preventive maintenance,True,False,Completed
17,5,1,5,Cooling system checked,True,False,In Progress
18,5,2,2,Cooling system checked,False,False,In Progress
19,5,3,2,Tyre replacement required,False,False,Completed
20,6,1,2,Cooling system checked,False,False,In Progress
21,6,2,9,Engine oil replacement,True,False,Pending
22,6,3,1,Routine preventive maintenance,True,False,Completed
23,6,4,5,Normal wear detected,True,False,Completed
24,6,5,12,Normal wear detected,True,False,Completed
25,6,6,9,Normal wear detected,True,False,Completed
26,7,1,4,Tyre replacement required,True,False,Completed
27,7,2,1,Tyre replacement required,True,False,Completed
28,7,3,1,Brake system inspection,True,False,Completed
29,7,4,7,Brake system inspection,True,False,Completed
30,7,5,8,Electrical fault identified,True,False,Completed
31,8,1,8,Routine preventive maintenance,True,False,Completed
32,8,2,4,Engine oil replacement,True,False,Completed
33,8,3,11,Cooling system checked,True,False,Completed
34,8,4,5,Brake system inspection,True,False,Completed
35,8,5,8,Electrical fault identified,True,False,Pending
36,8,6,7,Normal wear detected,False,False,Pending
37,9,1,2,Engine oil replacement,False,False,Completed
38,9,2,8,Engine oil replacement,True,False,Completed
39,9,3,6,Normal wear detected,True,False,Completed
40,10,1,7,Electrical fault identified,True,False,Completed
41,10,2,7,Routine preventive maintenance,True,False,Completed
42,11,1,2,Tyre replacement required,False,False,Completed
43,11,2,2,Electrical fault identified,True,False,Completed
44,11,3,6,Engine oil replacement,True,False,Completed
45,11,4,5,Brake system inspection,True,False,Completed
46,11,5,6,Routine preventive maintenance,True,False,Completed
47,12,1,7,Cooling system checked,True,False,Completed
48,12,2,10,Normal wear detected,True,True,Pending
49,12,3,8,Brake system inspection,True,False,Pending
50,13,1,2,Brake system inspection,True,False,Pending
51,13,2,8,Cooling system checked,True,True,In Progress
52,14,1,4,Tyre replacement required,True,False,Completed
53,14,2,2,Cooling system checked,True,False,Completed
54,15,1,6,Cooling system checked,True,True,Pending
