MechanicCertificationID,MechanicID,CertificationID,IssueDate,ExpiryDate
1,1,1,2024-10-17,2027-10-17
2,1,2,2024-10-17,2027-10-17
3,2,1,2024-04-27,2027-04-27
4,2,3,2024-04-27,2027-04-27
5,3,1,2024-04-22,2027-04-22
6,3,3,2024-04-22,2027-04-22
7,4,1,2022-12-14,2025-12-14
8,5,1,2021-09-22,2024-09-22
9,6,1,2022-10-21,2025-10-21
10,6,3,2022-10-21,2025-10-21
11,7,1,2022-01-27,2025-01-27
12,7,3,2022-01-27,2025-01-27
13,8,1,2022-11-21,2025-11-21
14,9,1,2024-03-27,2027-03-27
15,10,1,2023-01-19,2026-01-19
16,11,1,2022-04-30,2025-04-30
17,11,4,2022-04-30,2025-04-30
18,12,1,2021-01-16,2024-01-16
19,13,1,2021-06-21,2024-06-21
20,13,2,2021-06-21,2024-06-21
21,14,1,2024-03-18,2027-03-18
22,14,3,2024-03-18,2027-03-18
23,15,1,2023-03-05,2026-03-05
24,16,1,2023-01-18,2026-01-18
25,16,4,2023-01-18,2026-01-18
26,17,1,2022-07-11,2025-07-11
27,18,1,2024-03-11,2027-03-11
28,19,1,2023-09-27,2026-09-27
29,20,1,2021-04-29,2024-04-29
30,20,2,2021-04-29,2024-04-29
31,21,1,2022-11-21,2025-11-21
32,21,3,2022-11-21,2025-11-21
33,22,1,2024-07-01,2027-07-01
34,23,1,2022-08-17,2025-08-17
35,23,3,2022-08-17,2025-08-17
36,24,1,2022-06-09,2025-06-09
37,24,4,2022-06-09,2025-06-09
38,25,1,2023-01-09,2026-01-09
39,26,1,2024-10-20,2027-10-20
40,26,3,2024-10-20,2027-10-20
41,27,1,2024-09-18,2027-09-18
42,28,1,2024-04-18,2027-04-18
43,29,1,2024-03-08,2027-03-08
44,29,3,2024-03-08,2027-03-08
45,30,1,2021-07-25,2024-07-25
46,31,1,2022-06-17,2025-06-17
47,31,2,2022-06-17,2025-06-17
48,32,1,2022-10-04,2025-10-04
49,33,1,2021-10-30,2024-10-30
50,34,1,2021-05-25,2024-05-25
51,35,1,2021-01-10,2024-01-10
52,35,2,2021-01-10,2024-01-10
53,36,1,2021-10-08,2024-10-08
54,36,3,2021-10-08,2024-10-08
55,37,1,2021-03-18,2024-03-18
56,37,4,2021-03-18,2024-03-18
57,38,1,2024-08-03,2027-08-03
58,39,1,2022-02-24,2025-02-24
59,40,1,2023-10-30,2026-10-30
60,41,1,2024-01-22,2027-01-22
61,42,1,2024-09-26,2027-09-26
62,42,3,2024-09-26,2027-09-26
63,43,1,2023-09-03,2026-09-03
64,44,1,2021-01-04,2024-01-04
65,44,3,2021-01-04,2024-01-04
66,45,1,2024-07-17,2027-07-17
