EventID,EventTimestamp,VIN,DriverID,DepotID,EventTypeID,SeverityID,Odometer,ReviewStatus
3432,2016-08-23 07:31:05,LPG25NTJF788K53SC,168,1,3,3,612692,Reviewed
3431,2016-08-28 19:18:49,LPG25NTJF788K53SC,168,1,8,2,614125,Reviewed
1722,2016-09-03 01:08:39,BBU883LKMFU6TW977,171,3,3,3,171826,Reviewed
1764,2016-09-15 18:53:22,BHK2V2TTVJU9U12RH,49,4,2,2,119581,Reviewed
3162,2016-10-02 19:24:35,KTTU3UA296DR5RBFY,62,1,3,3,140064,Reviewed
3341,2016-10-08 08:26:26,LJ12TX2UXBDCA75LC,74,3,7,1,148231,Pending
3336,2016-10-11 01:01:10,LJ12TX2UXBDCA75LC,74,3,1,2,144226,Pending
3483,2016-10-12 17:35:41,MDPTET6GFRFP20SD5,33,1,1,2,284752,Pending
985,2016-10-13 06:57:37,6KJ763G71ZB7SACH5,207,2,7,1,407933,Reviewed
827,2016-10-14 03:19:44,5Z9HK12L1WCR7PSUN,20,2,1,2,579689,Pending
984,2016-10-15 02:00:02,6KJ763G71ZB7SACH5,207,2,3,3,409889,Reviewed
1766,2016-10-18 07:40:05,BHK2V2TTVJU9U12RH,49,4,1,2,123466,Pending
3159,2016-10-22 16:08:39,KTTU3UA296DR5RBFY,62,1,5,1,140038,Pending
3338,2016-10-23 04:05:49,LJ12TX2UXBDCA75LC,74,3,7,1,143572,Reviewed
3337,2016-10-24 06:03:17,LJ12TX2UXBDCA75LC,74,3,5,1,145028,Reviewed
3335,2016-10-30 22:11:57,LJ12TX2UXBDCA75LC,74,3,1,2,143397,Pending
3339,2016-11-04 11:35:56,LJ12TX2UXBDCA75LC,74,3,2,2,143959,Pending
3480,2016-11-15 22:16:38,MDPTET6GFRFP20SD5,33,1,4,2,287730,Reviewed
3529,2016-11-19 06:26:41,MK4UFMALXWMB1JCD0,27,4,2,2,295750,Pending
1765,2016-11-19 19:16:03,BHK2V2TTVJU9U12RH,49,4,5,1,121347,Pending
3534,2016-11-22 22:23:48,MK4UFMALXWMB1JCD0,27,4,4,2,297653,Pending
3340,2016-11-25 17:13:33,LJ12TX2UXBDCA75LC,74,3,7,1,147077,Reviewed
4800,2016-11-30 05:03:02,VTVUSVFBJWNZ2KCWE,33,1,5,1,408393,Pending
589,2016-12-02 05:18:24,4HBHHF5TL1ZA2TZ0V,129,1,5,1,196350,Pending
2693,2016-12-13 00:22:55,GM1X2GV7R0E9XHFVV,64,4,2,2,141282,Reviewed
4702,2016-12-14 10:16:41,V4BAX0951WVKTTWXZ,63,3,3,3,219597,Pending
829,2016-12-14 21:56:18,5Z9HK12L1WCR7PSUN,20,2,2,2,580970,Reviewed
3484,2016-12-15 18:01:31,MDPTET6GFRFP20SD5,33,1,2,2,285839,Pending
3532,2016-12-16 18:25:31,MK4UFMALXWMB1JCD0,27,4,1,2,299629,Reviewed
3853,2016-12-17 13:46:53,P4P1LLJ8ZSDCR1NEB,118,4,4,2,76861,Pending
3481,2017-01-08 16:57:34,MDPTET6GFRFP20SD5,33,1,2,2,284932,Pending
3040,2017-01-09 02:07:14,K884DGY9BM92G4VW3,16,3,3,3,15391,Reviewed
2243,2017-01-09 17:13:32,EKHNMK8FXSRK1ZEKN,107,3,1,2,81742,Pending
3531,2017-01-11 08:28:11,MK4UFMALXWMB1JCD0,27,4,2,2,299336,Pending
825,2017-01-13 11:14:45,5Z9HK12L1WCR7PSUN,20,2,5,1,576077,Reviewed
2957,2017-01-14 07:31:16,K04WXLN7AMMRS1G0Z,62,1,1,2,587745,Pending
3482,2017-01-16 05:19:12,MDPTET6GFRFP20SD5,33,1,4,2,285664,Reviewed
2956,2017-01-16 13:29:31,K04WXLN7AMMRS1G0Z,62,1,3,3,588992,Reviewed
593,2017-01-16 22:40:58,4KWT1H3FKYYEYKF6Y,137,2,5,1,279970,Reviewed
592,2017-01-23 03:36:46,4KWT1H3FKYYEYKF6Y,137,2,2,2,279329,Pending
3649,2017-01-24 10:39:20,N58WACU49LNZ3UWHP,60,1,6,3,309085,Pending
596,2017-01-28 00:42:33,4KWT1H3FKYYEYKF6Y,137,2,2,2,279368,Pending
2952,2017-01-29 13:05:43,K04WXLN7AMMRS1G0Z,62,1,5,1,588242,Pending
3041,2017-01-29 17:13:49,K884DGY9BM92G4VW3,16,3,1,2,17307,Pending
2951,2017-01-31 16:45:40,K04WXLN7AMMRS1G0Z,62,1,7,1,591947,Pending
4706,2017-02-02 16:54:08,V4BAX0951WVKTTWXZ,63,3,1,2,218900,Pending
595,2017-02-04 09:24:13,4KWT1H3FKYYEYKF6Y,137,2,1,2,280099,Reviewed
2912,2017-02-07 04:21:53,JMMB5JEZUZ07RS4DD,192,4,4,2,158320,Reviewed
4847,2017-02-08 14:46:16,W31RABYX3EPXLCFU8,121,1,4,2,135460,Reviewed
2334,2017-02-13 16:38:51,ER8HRMABTH9NA74Y3,27,4,2,2,182893,Pending
3160,2017-02-14 09:05:57,KTTU3UA296DR5RBFY,62,1,8,2,140822,Reviewed
2330,2017-02-14 19:00:37,ER8HRMABTH9NA74Y3,27,4,1,2,182549,Pending
2335,2017-02-15 02:40:57,ER8HRMABTH9NA74Y3,27,4,2,2,181038,Pending
4950,2017-02-16 00:02:30,WGDNEMANL8VHT0R8F,202,4,5,1,145340,Pending
591,2017-02-16 02:11:05,4KWT1H3FKYYEYKF6Y,137,2,2,2,281368,Reviewed
597,2017-02-16 12:54:05,4KWT1H3FKYYEYKF6Y,137,2,1,2,279117,Pending
4703,2017-02-19 01:24:09,V4BAX0951WVKTTWXZ,63,3,2,2,218488,Pending
1538,2017-02-19 17:04:18,9SK7C41MM2UMD0RCB,177,1,2,2,199610,Pending
567,2017-02-21 13:10:21,4FMRM5GGBP16FGSYJ,48,1,5,1,45149,Reviewed
2336,2017-02-22 19:12:43,ER8HRMABTH9NA74Y3,27,4,4,2,183219,Pending
594,2017-02-24 13:14:34,4KWT1H3FKYYEYKF6Y,137,2,2,2,278585,Pending
3043,2017-02-27 03:29:53,K884DGY9BM92G4VW3,16,3,1,2,14739,Pending
3652,2017-02-27 17:49:03,N58WACU49LNZ3UWHP,60,1,1,2,309947,Pending
3039,2017-02-28 10:33:45,K884DGY9BM92G4VW3,16,3,2,2,14735,Pending
2955,2017-03-04 18:17:16,K04WXLN7AMMRS1G0Z,62,1,4,2,587351,Reviewed
3651,2017-03-05 18:16:53,N58WACU49LNZ3UWHP,60,1,2,2,308122,Pending
2020,2017-03-05 21:36:24,D42W30NYEJSJLZS01,56,3,7,1,271519,Pending
3744,2017-03-06 08:10:44,NKFGB7W81LKY2U9YK,195,1,1,2,81186,Pending
