VIN,RegistrationNumber,VehicleCategoryID,Manufacturer,Model,ManufactureYear,CurrentOdometer,DepotID,OperationalStatus
PZSBKK5CHJ3W3GDHE,29C-10350,1,Ford,Transit,2018,265564,1,Available
SLPJURW61WAHZ5WA2,30H-26299,1,Hyundai,Solati,2022,178034,1,Assigned
R38SPLDFPTYP2BCJD,65C-86720,2,Isuzu,NQR,2021,215927,4,Assigned
GM1X2GV7R0E9XHFVV,65H-17104,4,Toyota,Hilux,2022,141118,4,Available
0PSSSEGW1EC25M2JA,65H-76698,3,Dongfeng,EC35,2024,35090,4,Assigned
L2N759HN5PLS7N93Y,51H-55236,4,Isuzu,D-Max,2021,138953,3,Available
7AE59C2JXPCLZU8X6,30C-78937,3,Wuling,Cargo EV,2020,166309,1,Available
920DFKALBMRJPZFFX,50C-66881,2,Isuzu,NQR,2022,107667,3,Available
Z6SKVC89K8ZSK95DN,43H-43466,5,Hino,700 Series,2018,340887,2,Available
52971462H3HGJ12ZE,51C-84177,1,Ford,Transit,2025,17969,3,Available
LPG25NTJF788K53SC,29C-48680,2,Mitsubishi Fuso,Canter,2016,611292,1,Assigned
AUSZZW48DHA6V7HC4,51C-61717,1,Mercedes-Benz,Sprinter,2025,23262,3,Maintenance
D6ERZ18P1FPDTP8BN,43H-25220,1,Toyota,HiAce,2017,309754,2,Available
K884DGY9BM92G4VW3,51C-62184,3,VinFast,EC Van,2025,17036,3,Available
D5EM3WAJEPDCRMWRH,50H-32871,5,Hino,700 Series,2016,495858,3,Available
RD0R6LEEXW0NWKTR3,65H-62640,5,Hino,700 Series,2020,148165,4,Available
P4P1LLJ8ZSDCR1NEB,65H-39949,5,Hino,700 Series,2023,78183,4,OutOfService
LDTFS4MVDKHRV2XZV,65H-88696,2,Mitsubishi Fuso,Canter,2020,250870,4,Available
FEYC19DUNRFLL8W6F,51H-10800,5,Volvo,FMX,2019,260998,3,Assigned
HTMDZWULH9BG822KD,30H-45804,1,Mercedes-Benz,Sprinter,2022,133656,1,Available
RSCLRPYKP8F8SZMRD,29H-15544,1,Toyota,HiAce,2021,192842,1,Available
TDT6M143HEGW2YF2T,30C-20011,1,Hyundai,Solati,2023,79041,1,Assigned
RSX3WMCSBNKY9CWNW,43H-29786,5,Hino,700 Series,2022,151857,2,OutOfService
R349CYB09UXN7N2ZB,30C-18109,5,Hino,700 Series,2022,112143,1,Available
WEM80NW7LN33Z41ZU,29H-20682,1,Mercedes-Benz,Sprinter,2020,297994,1,Available
HEC4D246BM2ENF423,43H-35166,1,Hyundai,Solati,2020,196149,2,Available
H826GZVR22TPFGW5B,43C-79993,1,Toyota,HiAce,2025,14336,2,Available
ER8HRMABTH9NA74Y3,65H-77286,1,Ford,Transit,2020,182024,4,Available
AHE8XP2HEHYXC4TUX,51C-20384,1,Toyota,HiAce,2023,111487,3,Available
ZUM8U2TA5BNN1MCHY,30C-97080,5,Volvo,FMX,2022,101531,1,Available
SZX3C2SKBGB7U9UJ1,65C-99742,2,Isuzu,NQR,2017,443134,4,Available
6N9TT7U30CW4VLCYL,51H-67637,1,Hyundai,Solati,2019,276474,3,Available
98CYM3Z8EX2BC2NNV,51H-93816,1,Hyundai,Solati,2021,192421,3,Available
LK8AGU7D20HXZ9GEC,65H-62171,5,Mercedes-Benz,Actros,2021,120155,4,Available
507Y3TEGE3AVN3VXC,65H-49315,5,Mercedes-Benz,Actros,2022,163000,4,Available
YRZM52YG8R7BEFFL0,50C-51553,3,Wuling,Cargo EV,2021,207330,3,Available
KUTF8FY0W4V4ABYWY,51C-91922,3,VinFast,EC Van,2019,346476,3,Assigned
3ZKCBRSGXL0159ENV,51H-42096,1,Mercedes-Benz,Sprinter,2024,43983,3,Available
P86370GF9S6TCNSHW,43H-90658,2,Isuzu,NQR,2018,233265,2,Available
612NPVGVCT2K9ZD9N,50H-27555,1,Mercedes-Benz,Sprinter,2020,142143,3,Assigned
B03UE6E7LNX4WTTTV,65C-15938,1,Toyota,HiAce,2019,313463,4,Available
S822W0WFXX4EZB8DA,30C-88238,1,Ford,Transit,2025,24126,1,Available
GLYULF7MM20YZXGJV,50C-77984,1,Mercedes-Benz,Sprinter,2021,223628,3,Available
M73KEZN9483KK0MRJ,30H-72888,3,Dongfeng,EC35,2022,160471,1,Available
ZUYBP0D2AV7P75SG8,43C-16653,1,Hyundai,Solati,2018,381396,2,Available
6F79PT7875AVD9K9U,65C-64773,2,Hino,500 Series,2022,100437,4,Available
Y0AMKZGXYPRLPD9S7,51C-70150,3,Dongfeng,EC35,2019,209529,3,Available
MHZSFZ762ZY8NH8SS,43H-95679,1,Hyundai,Solati,2025,14894,2,OutOfService
R0CVCVTVELUDGWDT3,50C-78879,1,Mercedes-Benz,Sprinter,2023,78627,3,Available
JAHCP0UB69SKFEY18,51C-61897,2,Hino,500 Series,2022,158181,3,Available
FUU1HAAKZUU4JMK70,43H-25549,4,Ford,Ranger,2020,281374,2,Available
W0B1PHH5BTK31LWZL,43C-68515,4,Toyota,Hilux,2019,197639,2,Available
ZVBMYNUZPKGUHH5ES,50C-92050,1,Toyota,HiAce,2021,172129,3,Available
CRNU4BNWBC3WZHG6L,43H-94765,1,Toyota,HiAce,2020,206845,2,Maintenance
7V2NUMJTTD9S47NPV,29C-61987,1,Ford,Transit,2023,112773,1,Available
VJV8M2T01S1MEVG69,30C-59786,1,Mercedes-Benz,Sprinter,2020,191430,1,OutOfService
4H0ATNXZXSTAVAUK9,65H-28021,2,Hino,500 Series,2024,28179,4,Available
XJM3C8SJ0K4C9YBPN,50C-35156,4,Toyota,Hilux,2018,245248,3,Available
7H6ZVJ7ZKUYF5AGE4,65C-79226,2,Hino,500 Series,2021,213746,4,Assigned
3ZC1MDHCWXW8LX2RH,30H-28343,3,Wuling,Cargo EV,2019,282015,1,Available
CF0X1LDALMJEGRVPA,30C-19634,1,Mercedes-Benz,Sprinter,2017,462166,1,Available
20V9JUZFJJEFKK2M8,51H-60829,1,Hyundai,Solati,2024,25808,3,Assigned
4N5RR4YWKWZSFPL1X,50H-53544,2,Mitsubishi Fuso,Canter,2018,299864,3,OutOfService
G9F2A08G34C43ZEKJ,43C-83905,5,Mercedes-Benz,Actros,2023,101502,2,Available
B803W7DJYFXVYY8L3,43H-81256,1,Mercedes-Benz,Sprinter,2025,20703,2,Available
9SK7C41MM2UMD0RCB,30C-55215,1,Toyota,HiAce,2021,202533,1,Assigned
FV8HPGYRAXGWN0G13,29C-82339,1,Ford,Transit,2022,91542,1,Available
ZT8LNNDMSFZ37WZLH,65C-44387,1,Toyota,HiAce,2020,191661,4,Available
TU77FFKG4X58SGNVY,30H-34347,1,Mercedes-Benz,Sprinter,2021,136141,1,Available
BHK2V2TTVJU9U12RH,65C-48284,2,Mitsubishi Fuso,Canter,2021,121671,4,Available
5C5D3G1Z5XRX233VU,51H-55688,5,Scania,R450,2020,148449,3,Available
795E5J042ZTWJPRX6,65C-63948,1,Hyundai,Solati,2020,210082,4,Available
1SYMCUHRGJ4MWVTMZ,43C-22208,2,Hyundai,Mighty EX8,2021,227937,2,Available
9R976K55DMCYYBX01,51H-10088,1,Mercedes-Benz,Sprinter,2016,502828,3,Available
AMD5ZSHC3DNKN35YZ,29H-11217,1,Toyota,HiAce,2021,134786,1,Available
Z5CD1WN8LEKCVWX2Z,50H-90750,2,Isuzu,NQR,2021,155851,3,Assigned
B68TDTWU997E5VNZ2,43H-94694,5,Hino,700 Series,2022,94726,2,OutOfService
TXTP0CUXKLTG3UNX4,29C-62163,5,Volvo,FMX,2016,533111,1,Available
XBYYFAEATMU4JN151,51C-69424,1,Toyota,HiAce,2017,322600,3,Available
SMTVNJDV0HTB5JSNE,43C-75031,4,Ford,Ranger,2019,196743,2,Maintenance
P0JCNT6F398CSK4LV,50H-42540,4,Isuzu,D-Max,2023,104967,3,Available
9921V3E7AUXZAM2N1,51H-87554,1,Hyundai,Solati,2023,81795,3,Available
BH4P6S1WTYPWCYEK5,65H-22193,1,Mercedes-Benz,Sprinter,2021,115701,4,Maintenance
E2DDRLDM2RS5C3L0W,50C-36569,1,Hyundai,Solati,2020,211291,3,Available
K4F85VVDD3EC2HGPZ,30C-98759,4,Isuzu,D-Max,2019,273255,1,Maintenance
D43E8B7R0TNRM6KRE,50H-26880,1,Ford,Transit,2016,453801,3,Available
NPY3J9UAN0S2MVLJA,50C-46670,2,Mitsubishi Fuso,Canter,2021,225575,3,Available
DYJ37B9H43M44FW30,51C-30922,1,Hyundai,Solati,2017,423649,3,Maintenance
TCHHUA7GE074LAW72,51H-33010,1,Toyota,HiAce,2022,94672,3,Assigned
KEF838YF8Z72HWFLZ,65C-54113,4,Ford,Ranger,2022,156787,4,Available
L3XYDTLCMLX84Z1MA,65C-88956,5,Hino,700 Series,2020,288762,4,Available
86TNVDS5YZFC4KL8C,43H-65004,5,Volvo,FMX,2023,56310,2,Available
F6FDGG001JKHBV4FM,50H-95673,1,Ford,Transit,2020,266546,3,Available
KC4LPTYDUG6NRJSHJ,50C-93648,1,Mercedes-Benz,Sprinter,2019,186746,3,Available
CNU8Z7VHKP5BVUV9E,51C-82561,5,Volvo,FMX,2022,175929,3,Maintenance
CZG4EWL03CVV5U7A0,65C-65492,1,Toyota,HiAce,2025,11315,4,Available
22565JYVSFPXZPP6Z,29C-83752,5,Scania,R450,2018,374123,1,Available
5Z9HK12L1WCR7PSUN,43H-74437,2,Hyundai,Mighty EX8,2016,578888,2,Available
5GBBBMGNSP7ZHTR8S,29C-35265,5,Hino,700 Series,2021,237438,1,Available
B52HHHGYT58ZSEF3H,51C-60667,1,Hyundai,Solati,2023,61847,3,Available
JSZ4PDTY4NYXKDC9Y,51H-70161,3,Wuling,Cargo EV,2022,125549,3,Maintenance
PLEATK6P1W93M0ZYS,50C-88647,1,Hyundai,Solati,2019,315605,3,Maintenance
EJ32GZMCM1L3LJK5S,30C-71706,1,Toyota,HiAce,2023,73741,1,Maintenance
KB5EGPV6SL02TXFXA,65H-79446,2,Hino,500 Series,2021,150998,4,Available
RRSAU1861UAA1H5LD,29H-93032,5,Scania,R450,2021,123079,1,Available
69M6MG87PH0E1WFNY,30H-66841,1,Ford,Transit,2020,216238,1,Available
4BDREJ0GZAPDUX0P6,29C-95664,4,Isuzu,D-Max,2022,147846,1,Available
0KBTG7LAZ64ZECT0D,43C-56913,2,Hino,500 Series,2021,152363,2,Available
5MZRD56AEYL68J1NM,65C-15170,1,Hyundai,Solati,2019,193128,4,Available
E094D7SVRX2X5616S,43C-24818,1,Mercedes-Benz,Sprinter,2022,132684,2,Available
5UZXR0SYYE46XA7TS,43C-97797,4,Toyota,Hilux,2019,262375,2,Available
YPHS3R5RDTYDPVACW,50C-82154,1,Hyundai,Solati,2019,252917,3,Available
34L2W0MRDYAMX3VND,43H-17113,1,Toyota,HiAce,2022,129796,2,Maintenance
7NS20DP74W2RY8ETU,65C-25826,2,Mitsubishi Fuso,Canter,2018,380131,4,Available
NW6TN972K89REP01K,50C-23573,3,Dongfeng,EC35,2024,36613,3,Assigned
MZ9Y8TZLDMSVZP14K,50H-99995,4,Isuzu,D-Max,2022,96330,3,Assigned
1FKJ4ZK1B3D5151VH,50C-44993,4,Toyota,Hilux,2020,153910,3,Assigned
B1G55RHX0NW1G0GR9,30H-82368,5,Volvo,FMX,2024,50398,1,Available
F4AS7B7W2X4K3VC0U,51H-27048,3,VinFast,EC Van,2020,252330,3,OutOfService
6YLK8XSV1YDMHY7JB,65H-38992,2,Isuzu,NQR,2021,205753,4,Maintenance
4N3RB6GT8F8UACZ25,51C-77746,1,Ford,Transit,2020,281619,3,Available
0BCFJC47PRPLNDA0C,43C-70191,1,Mercedes-Benz,Sprinter,2022,79452,2,Assigned
C2RPYSUEN3V8EZ731,51H-89503,1,Hyundai,Solati,2024,31955,3,Available
VCG10G65EGXJDZVB1,43H-80405,3,Wuling,Cargo EV,2018,230950,2,OutOfService
0TLEYDX6LRXLWVNLR,51C-35875,2,Hino,500 Series,2020,157658,3,Available
SMLVFX45EUJ6CCATB,29H-72908,1,Mercedes-Benz,Sprinter,2019,274237,1,Available
N6W5ETCNAH89Z1EFV,51C-57948,1,Ford,Transit,2022,141233,3,Available
HJHZU3N76BYD8XK1W,29C-73916,4,Isuzu,D-Max,2021,194056,1,Available
3M36A6RHTKEFW3YPL,43H-56255,1,Ford,Transit,2021,198652,2,Available
EWET6EF7UP8Y5148H,43C-15655,5,Hino,700 Series,2018,327714,2,Available
0MRWHNDG5TPEDSXB2,50H-31983,2,Isuzu,NQR,2023,68705,3,Available
50R7S2M364WRJ27CW,43H-58546,1,Toyota,HiAce,2024,25078,2,Available
G3PDRWJUVX9PGVVFV,29H-95792,1,Ford,Transit,2022,85444,1,Available
28DT23XZBNX34SWCJ,43C-68536,3,Wuling,Cargo EV,2020,176193,2,Available
YRGY3KBWUHFBHAF92,65C-32973,2,Mitsubishi Fuso,Canter,2022,138289,4,Available
7M8KXG7VJPDCK8385,50H-83284,1,Ford,Transit,2023,58993,3,Assigned
Z65SJN3H03PMU0JKP,65H-70142,2,Mitsubishi Fuso,Canter,2022,170921,4,Assigned
8Z7TG15GGJXFD7ZYX,50H-33957,1,Toyota,HiAce,2021,192677,3,Assigned
G2TP1EUP8BM52SDUL,30H-74330,2,Mitsubishi Fuso,Canter,2020,222684,1,Available
J8MGPP1NPRV9Z303V,43H-41082,5,Volvo,FMX,2020,208078,2,Maintenance
E6XULTJ5BDFHJ4D1J,50H-75483,1,Toyota,HiAce,2021,102553,3,Available
WYF2MZT16NKXEF3MX,65C-85609,2,Hyundai,Mighty EX8,2016,483563,4,Available
WP6271URF5EHJ11GP,30H-45058,4,Toyota,Hilux,2020,222177,1,Available
XC7NH1REUFBM75S57,43C-44400,3,VinFast,EC Van,2016,628148,2,Available
SHCLPFAU2EKUZT1K2,65H-55504,1,Toyota,HiAce,2022,129840,4,Assigned
F1NNJPH273ZK13P5G,65H-42754,2,Hyundai,Mighty EX8,2019,326945,4,Available
F9A9KERACAHP2TNZB,50H-12542,2,Hyundai,Mighty EX8,2022,134486,3,Available
6JNA90N9J9G1DYGN8,30C-35191,5,Mercedes-Benz,Actros,2023,59356,1,Maintenance
65HDXLFKD3AB2SWNC,51C-57241,1,Ford,Transit,2019,347384,3,Available
TLVYM61AN0JB0VUTV,50C-26492,1,Ford,Transit,2017,468971,3,Available
UR2T16XNXLC84GZ2F,43H-44517,1,Toyota,HiAce,2017,340638,2,Available
5GTDV4YU0JNWC7GT6,29C-33414,1,Ford,Transit,2021,117479,1,Available
JBCL88D0UGUJXF1PD,30C-90862,4,Isuzu,D-Max,2023,104519,1,Available
MF9RML9LN2R0XVH27,43H-76151,1,Mercedes-Benz,Sprinter,2024,35932,2,Available
E6A9HL2847TVVDSFJ,43C-77844,3,Dongfeng,EC35,2016,438173,2,Maintenance
3F4ZW6WK1WCB2M3P5,29C-52558,1,Hyundai,Solati,2017,404804,1,Maintenance
ULVL0FZ991VCR2EMS,51C-49948,1,Ford,Transit,2022,152862,3,Assigned
GPVV9UHJRZWDPNGMY,43H-83308,2,Mitsubishi Fuso,Canter,2021,134177,2,Assigned
ZF1C1JXE4KM3LSL1G,29C-36173,1,Mercedes-Benz,Sprinter,2022,127732,1,Available
6UJBGZJS8CYY7MDK6,50H-86415,5,Hino,700 Series,2023,68526,3,Available
G8V0B7LT1AZMK99KC,43C-34434,3,Wuling,Cargo EV,2017,382694,2,Available
6YCN8XXHHF97LUGEU,65C-54798,1,Ford,Transit,2024,43362,4,Assigned
77LV8DL6026PPR767,43C-96013,4,Isuzu,D-Max,2024,33863,2,Available
ZMZSTW0N5TEGB2AJP,29C-40266,5,Scania,R450,2016,559912,1,Assigned
6R2X40P7VUY0BDS55,51H-69971,3,VinFast,EC Van,2018,335155,3,Available
R62KFK7Z6SYCTFW6V,65C-48165,2,Hino,500 Series,2022,137649,4,Available
JZ630EDRMUN3T8NN2,29H-21820,1,Mercedes-Benz,Sprinter,2022,163406,1,Maintenance
L18KF68A2ATT3XTHY,65C-64995,2,Isuzu,NQR,2018,257907,4,Available
GBMEBWWLCD9FKY0VV,51C-16411,1,Ford,Transit,2019,323482,3,OutOfService
424CSE5LPGGBV9UC0,43H-59668,5,Volvo,FMX,2017,378458,2,Available
XT1T36HKGDS31GXPB,51H-27001,5,Hyundai,Xcient,2022,111482,3,Available
KV2DLPV84G47SSBEF,30C-50340,4,Isuzu,D-Max,2019,253826,1,Available
0LUGZ36M8KB9X4VNW,65H-84048,4,Ford,Ranger,2023,104257,4,Maintenance
5N4KUFNBGDT36FMS5,51C-75149,5,Mercedes-Benz,Actros,2022,105585,3,Available
S0UA7ZWCSBUYLWL6L,50C-14791,1,Ford,Transit,2023,117652,3,Available
D8VDUVJ83VFL6UBA6,29C-45866,1,Mercedes-Benz,Sprinter,2022,105737,1,Available
LG23C72VD30DLY2S8,30H-50952,1,Mercedes-Benz,Sprinter,2018,376269,1,Available
ASMSF2WED33LY3UPP,30H-73898,4,Ford,Ranger,2020,226593,1,Available
2UHYC7VTWSV4F8CD3,65H-84345,2,Mitsubishi Fuso,Canter,2017,354588,4,Assigned
YRKXRG5K3Z77079WX,43C-29231,1,Ford,Transit,2017,514180,2,Available
4M55H0PLNNUYSGN74,65C-83404,4,Toyota,Hilux,2020,283886,4,Available
R9CYPS3WRFTVRMGWW,50H-96235,3,VinFast,EC Van,2016,428235,3,Assigned
SNW8C1U51KUUXJXYZ,43C-84468,1,Mercedes-Benz,Sprinter,2024,49049,2,Available
6VLM9KFZWL2JXWVYK,51H-77195,2,Hino,500 Series,2024,25706,3,Assigned
K5ADFWER3J0T35MCE,43C-90713,1,Toyota,HiAce,2021,172836,2,Maintenance
W4BJ4BSSS87HZNJUR,43C-37637,1,Mercedes-Benz,Sprinter,2023,81188,2,Available
XYJJ3JWSZHZ2UZ9LA,43H-66595,5,Mercedes-Benz,Actros,2025,6344,2,Available
GAD7Y48Y0D5EY6V86,43H-43016,1,Ford,Transit,2022,116073,2,Available
FC2NLB8JRT7XFTE2H,43H-43729,1,Ford,Transit,2022,106226,2,Available
6EY7YJ06VU8TR422U,51H-12459,3,VinFast,EC Van,2016,456916,3,Available
KB9YN5M42KGV8YKND,51H-99369,3,Dongfeng,EC35,2018,360326,3,Available
0WTCULU4R9BB2BD3Z,65C-13324,2,Mitsubishi Fuso,Canter,2023,68342,4,Available
TA6XJYAX64DX4C3DW,65C-28558,5,Scania,R450,2023,80537,4,Available
WE432WMDEPZVR7BD4,30C-99664,1,Hyundai,Solati,2023,102692,1,Available
WKZ3SEEJRHFZW0XC4,29C-95426,5,Hyundai,Xcient,2017,301893,1,Available
TSXGBDE47TF7BNGJX,50H-80742,1,Toyota,HiAce,2018,358988,3,Maintenance
TCHRWP16HDHHPG6CW,29C-73577,2,Hino,500 Series,2024,36526,1,Available
X9GEZBE5SFM6W3YXF,29H-35448,1,Mercedes-Benz,Sprinter,2018,317906,1,OutOfService
AR5JRH7876PB91TRP,30H-46591,4,Isuzu,D-Max,2021,156739,1,Assigned
EKYCSL051AS25P3NS,29H-38574,5,Hyundai,Xcient,2019,326404,1,Available
0XVGZXM7T7NBNSBNY,30H-45361,4,Isuzu,D-Max,2020,148575,1,Assigned
5012L6TPBNRT4SU46,65H-86037,2,Isuzu,NQR,2025,12819,4,Available
6K8DK0T5UXK8UEMRY,50C-61207,1,Ford,Transit,2019,300028,3,Available
MYLWZ4RLE3FJS92BM,65H-85851,1,Toyota,HiAce,2023,118107,4,Available
D9VRNG0Y9ER9UEA72,65C-41182,1,Hyundai,Solati,2019,225969,4,Maintenance
6819Z317MDSBZDAXH,30H-72116,3,Wuling,Cargo EV,2021,233014,1,Available
C5Z89PTWTBZP0RNAM,51C-12955,1,Toyota,HiAce,2022,99116,3,Available
F161P4WEL9UM7WNAY,51H-47831,1,Toyota,HiAce,2023,108224,3,Available
4KWT1H3FKYYEYKF6Y,43H-15535,1,Toyota,HiAce,2019,280078,2,Available
XSZDTV4FBL5EFJP7M,43H-43804,5,Volvo,FMX,2022,117416,2,Available
LL43J0MUMEEK2P7FH,65C-81265,2,Isuzu,NQR,2023,74018,4,Available
7DEAMZER9U9FL1DEZ,50H-70357,4,Isuzu,D-Max,2022,178975,3,Available
1BD3TBDJCZ127G6GM,29C-73472,1,Ford,Transit,2021,129287,1,Available
42U08F1A0775S0GZD,65C-22989,4,Isuzu,D-Max,2020,182089,4,Assigned
DE20VBLDKWL9RVK5G,43C-71066,3,Wuling,Cargo EV,2019,209581,2,Available
RYCEPWD79C9MW9E40,43C-61952,4,Isuzu,D-Max,2020,143351,2,Available
WPSK2DJTXEDBCZ9NZ,51H-97382,5,Mercedes-Benz,Actros,2023,102459,3,Available
KTTU3UA296DR5RBFY,30H-36467,2,Hino,500 Series,2022,138150,1,Assigned
VTVUSVFBJWNZ2KCWE,30H-24336,4,Ford,Ranger,2018,407622,1,Available
PBJHLCZ5DFUBYPTPA,51H-56840,4,Isuzu,D-Max,2020,165519,3,Available
GT3ZFK8GX9C5HJKV3,30C-98488,1,Mercedes-Benz,Sprinter,2020,165618,1,Available
3SG3YK3RUGPXR2FA0,51C-84242,3,Wuling,Cargo EV,2017,388300,3,Maintenance
GSH124P57X4JKFZHH,43C-78454,2,Mitsubishi Fuso,Canter,2019,347228,2,Available
FEJ3YF58TA5CW56PM,51C-36475,1,Hyundai,Solati,2021,214329,3,Available
6HE3LWN1HPEF9RJWT,65H-75070,1,Toyota,HiAce,2019,329677,4,Available
SNLY6B13B7ZJNY06Z,30C-57578,3,Dongfeng,EC35,2021,164578,1,Available
71K5FRL3Y3KC2T17L,43H-21829,1,Ford,Transit,2024,50754,2,Available
W31RABYX3EPXLCFU8,29H-65164,3,VinFast,EC Van,2022,136366,1,Assigned
JZ43GPG586H87YX69,51H-27499,5,Hyundai,Xcient,2023,91864,3,Available
8FVAU274THG83J1NR,30C-21673,5,Hyundai,Xcient,2022,148694,1,Available
9HRJWYCS59PHNPWCV,50C-48036,1,Toyota,HiAce,2021,207092,3,Available
TN9ZE6BFFTMSC0RJL,43C-43247,3,Dongfeng,EC35,2025,24602,2,OutOfService
47URF1T8V7YRGBGSF,65H-90338,2,Hyundai,Mighty EX8,2023,106372,4,Available
D0EMGK414VYH9A2F7,65H-74616,1,Mercedes-Benz,Sprinter,2017,393459,4,Available
7DLAS0SXJYLBXR896,30H-87376,2,Hyundai,Mighty EX8,2016,483958,1,Assigned
PF85C5F2K1YDTR3LZ,65H-22130,1,Hyundai,Solati,2020,154558,4,Available
VP13XRRBMSHZFTXUK,51H-45190,5,Hino,700 Series,2019,296770,3,Available
VV7TTPS03MW2A1S24,43H-48729,3,VinFast,EC Van,2025,14843,2,Available
85GG1W5DUADFSZ58W,51H-54739,1,Hyundai,Solati,2022,129637,3,Available
EADA95GYYRX3GKSSA,65H-21486,2,Hyundai,Mighty EX8,2022,160478,4,Available
V4BAX0951WVKTTWXZ,50C-48644,1,Mercedes-Benz,Sprinter,2021,217837,3,Assigned
PST7M0AKGMHH6MW4Y,65H-94974,2,Hino,500 Series,2021,182798,4,Available
GZCSFFT38THV9MJZF,51C-91506,1,Mercedes-Benz,Sprinter,2023,97219,3,Maintenance
JMMB5JEZUZ07RS4DD,65C-73748,2,Hyundai,Mighty EX8,2021,159425,4,Available
7FKRT1DYME5RP2J3M,65C-36920,5,Hino,700 Series,2017,327632,4,Available
ER768UZ8R20UCMP2R,43H-39908,1,Mercedes-Benz,Sprinter,2020,204343,2,Available
6050LM46XEPY6XXRM,65H-62691,1,Toyota,HiAce,2024,28788,4,Assigned
UUHTLMXA6UJ4LPT14,65H-26515,2,Hyundai,Mighty EX8,2017,440884,4,Available
39V6XUWMK20Z0UJLW,30H-40945,2,Hino,500 Series,2021,101366,1,Assigned
6SRNUWUPJTPR7T94E,29C-65690,1,Mercedes-Benz,Sprinter,2023,60740,1,Available
BFV7D5DNKUDLNKAE2,29H-72043,5,Hino,700 Series,2024,32737,1,Available
M5PVV62S0W2TSRR5L,29C-81766,3,Dongfeng,EC35,2019,308134,1,Assigned
Y50V30VEVGXWBVGS6,43H-46356,5,Scania,R450,2024,47216,2,Available
3XPB5ARP5LJDDFEJC,29H-21094,3,VinFast,EC Van,2019,233950,1,Available
LPLN4DG1WT1NDCSPS,30H-22942,1,Hyundai,Solati,2019,195335,1,Available
YEVR4T2EUFJ88VB38,65C-82706,1,Hyundai,Solati,2022,146830,4,Available
NMXWTB1VKPEEVKRX8,30H-99128,5,Volvo,FMX,2024,56600,1,Available
9MSWAZYAS6ZP602U2,43C-96805,5,Mercedes-Benz,Actros,2025,19834,2,Available
F20AS7RHAK7MCXL0H,30H-60692,1,Mercedes-Benz,Sprinter,2022,116267,1,Available
TFG1ZWFW1E7561K4A,29H-84593,1,Toyota,HiAce,2016,627663,1,OutOfService
R9KZSM26HKPRAGCVA,51C-52336,5,Hino,700 Series,2024,25128,3,Assigned
CXARA374JS844UHCW,43H-50737,3,VinFast,EC Van,2024,37902,2,Available
6Z2C3BXRDBB5PXP52,43H-51062,1,Ford,Transit,2017,315908,2,Available
UWDA0W46ETMSXGEBE,51C-69516,2,Mitsubishi Fuso,Canter,2024,31637,3,Available
LMNAWZBT45PGG62MZ,65C-71541,2,Hyundai,Mighty EX8,2020,281857,4,Available
FR3BHAHHXH18L1GG9,43H-53072,3,Dongfeng,EC35,2024,46997,2,Available
9GKHJF4JGFJD4EY6M,29H-15754,1,Ford,Transit,2018,335450,1,Available
E73GNNW9JBXGU3LB3,51C-25531,2,Hyundai,Mighty EX8,2022,139065,3,Maintenance
T1YTTSLNZ0TJP7WBH,65C-31945,4,Ford,Ranger,2019,201340,4,Available
VECRMWSXRSP3LNFHY,43H-43361,4,Ford,Ranger,2021,198850,2,Available
MVMZJ124GWE50UJ2K,50C-19351,1,Ford,Transit,2023,79850,3,Available
H0GHWVS3MC4R8PR5A,65C-62101,3,Wuling,Cargo EV,2023,51558,4,Available
R12ZKWVBE99V37VNN,43C-64938,4,Isuzu,D-Max,2016,605945,2,Maintenance
FZF4WAG7NGKUSNAL7,43H-22221,1,Mercedes-Benz,Sprinter,2018,369294,2,Available
5L3YFVLG0SG9R4WJL,30C-27030,3,Dongfeng,EC35,2021,118025,1,Available
N45PFXRNY0D0B6F6U,51H-48987,2,Hino,500 Series,2023,87737,3,Available
1T2PFGBAYZSMPGBJ0,50H-20031,1,Toyota,HiAce,2024,51953,3,Available
SKF4XFE1FZAKRF06U,43H-28383,5,Hyundai,Xcient,2017,443767,2,Available
A227NHDP9MGZH634F,51C-88407,1,Ford,Transit,2020,220825,3,Available
DHMFPLNSC3YNCHKW9,29H-66083,1,Hyundai,Solati,2020,189688,1,Available
