AssignmentID,VIN,DriverID,DepotID,StartDate,EndDate,AssignmentStatus
682,030TF9WXHEB97RXDB,154,1,2018-09-08,2020-07-28,Completed
681,030TF9WXHEB97RXDB,132,1,2021-03-20,2021-10-06,Completed
683,030TF9WXHEB97RXDB,97,1,2022-10-30,2023-06-27,Completed
896,049DFP25CA80JTX5R,64,2,2018-08-27,2020-03-06,Completed
897,049DFP25CA80JTX5R,148,2,2021-02-13,2022-08-12,Completed
271,0BCFJC47PRPLNDA0C,29,2,2016-09-02,2017-11-22,Completed
273,0BCFJC47PRPLNDA0C,67,2,2019-01-03,2020-02-19,Completed
272,0BCFJC47PRPLNDA0C,91,2,2019-08-28,2020-04-01,Completed
274,0BCFJC47PRPLNDA0C,51,2,2026-03-15,2027-09-03,Completed
275,0BCFJC47PRPLNDA0C,195,2,2026-04-06,,Active
806,0DTHMS25H7A2GXNZA,75,4,2023-07-15,2025-02-02,Completed
805,0DTHMS25H7A2GXNZA,75,4,2023-07-23,2024-01-01,Completed
804,0DTHMS25H7A2GXNZA,19,4,2025-07-06,2026-12-03,Completed
888,0FV2AFDVPHSNSJ7NL,216,1,2018-10-17,2019-08-30,Completed
889,0FV2AFDVPHSNSJ7NL,109,1,2022-11-15,2024-09-04,Completed
890,0FV2AFDVPHSNSJ7NL,101,1,2025-04-30,2026-11-05,Completed
891,0FV2AFDVPHSNSJ7NL,154,1,2026-02-14,2027-08-17,Completed
236,0KBTG7LAZ64ZECT0D,82,2,2025-09-10,,Active
378,0LUGZ36M8KB9X4VNW,175,4,2018-07-05,2019-03-16,Completed
377,0LUGZ36M8KB9X4VNW,162,4,2025-04-03,2026-10-12,Completed
379,0LUGZ36M8KB9X4VNW,153,4,2025-08-06,2025-12-13,Completed
291,0MRWHNDG5TPEDSXB2,13,3,2026-03-23,2026-09-08,Completed
12,0PSSSEGW1EC25M2JA,2,4,2016-09-15,2017-01-29,Completed
1073,0RFE8E5VNL0VXYPL4,189,3,2017-04-14,2017-11-03,Completed
1074,0RFE8E5VNL0VXYPL4,13,3,2021-06-18,2022-07-11,Completed
279,0TLEYDX6LRXLWVNLR,36,3,2017-02-02,2018-08-24,Completed
419,0WTCULU4R9BB2BD3Z,42,4,2017-07-15,2018-04-19,Completed
441,0XVGZXM7T7NBNSBNY,160,1,2018-01-02,2018-07-18,Completed
929,19PXFMF5LN5TFUF6A,101,1,2017-06-06,2018-10-09,Completed
930,19PXFMF5LN5TFUF6A,103,1,2021-05-10,2021-05-20,Cancelled
469,1BD3TBDJCZ127G6GM,168,1,2026-06-26,2027-05-05,Completed
258,1FKJ4ZK1B3D5151VH,73,3,2020-06-01,2021-04-13,Completed
257,1FKJ4ZK1B3D5151VH,108,3,2026-05-03,2026-10-17,Completed
1071,1G3K3P4AJEAY2CS7E,189,3,2019-01-23,2019-06-01,Completed
1072,1G3K3P4AJEAY2CS7E,13,3,2021-07-05,2022-12-18,Completed
695,1KJAY57W0Z8JXWGRL,3,2,2017-12-22,2018-10-13,Completed
694,1KJAY57W0Z8JXWGRL,126,2,2021-02-08,2021-04-12,Completed
696,1KJAY57W0Z8JXWGRL,29,2,2023-10-16,2024-05-10,Completed
693,1KJAY57W0Z8JXWGRL,126,2,2025-05-27,2026-02-24,Completed
687,1M2UNYGN6E1DW7YG0,179,1,2023-02-23,2023-03-27,Completed
686,1M2UNYGN6E1DW7YG0,24,1,2024-01-19,2025-07-19,Completed
162,1SYMCUHRGJ4MWVTMZ,147,2,2017-08-25,2019-04-20,Completed
163,1SYMCUHRGJ4MWVTMZ,150,2,2024-09-02,2024-09-12,Cancelled
604,1T2PFGBAYZSMPGBJ0,108,3,2023-09-17,2024-05-15,Completed
605,1T2PFGBAYZSMPGBJ0,35,3,2024-05-06,2024-08-13,Completed
910,1UL1RSFWXVP21K19N,125,4,2021-11-21,2023-08-07,Completed
908,1UL1RSFWXVP21K19N,102,4,2022-02-20,2022-09-04,Completed
909,1UL1RSFWXVP21K19N,162,4,2026-05-25,2026-07-09,Completed
841,1ZCZ6BD0UGV4X8XJW,28,3,2018-09-12,2019-05-30,Completed
842,1ZCZ6BD0UGV4X8XJW,72,3,2021-09-20,2022-03-09,Completed
843,1ZCZ6BD0UGV4X8XJW,112,3,2025-08-23,2025-11-03,Completed
135,20V9JUZFJJEFKK2M8,26,3,2020-07-13,2021-02-11,Completed
136,20V9JUZFJJEFKK2M8,63,3,2022-02-27,2022-06-10,Completed
137,20V9JUZFJJEFKK2M8,63,3,2026-05-21,,Active
1081,21KZHWLSYH64HAA45,13,3,2020-01-03,2020-11-09,Completed
1082,21KZHWLSYH64HAA45,189,3,2025-09-24,2026-08-13,Completed
1083,21KZHWLSYH64HAA45,79,3,2025-11-07,,Active
212,22565JYVSFPXZPP6Z,205,1,2023-08-24,2023-08-25,Cancelled
863,27VYGWDHFVEUYNV5W,84,4,2017-01-31,2018-05-01,Completed
864,27VYGWDHFVEUYNV5W,147,4,2025-01-15,2026-04-14,Completed
865,27VYGWDHFVEUYNV5W,150,4,2025-11-07,2026-04-20,Completed
866,27VYGWDHFVEUYNV5W,147,4,2025-11-14,,Active
626,2821M0XNBNPJS7M0A,44,1,2017-09-20,2018-03-31,Completed
625,2821M0XNBNPJS7M0A,121,1,2022-09-14,2024-03-08,Completed
296,28DT23XZBNX34SWCJ,149,2,2017-06-01,2017-10-04,Completed
882,2JSBDYGEWNNWB0X5A,115,1,2019-01-05,2020-04-29,Completed
881,2JSBDYGEWNNWB0X5A,172,1,2022-05-10,2022-07-06,Completed
800,2KDHWLH87J0C58CV5,125,4,2017-09-08,2017-10-29,Completed
801,2KDHWLH87J0C58CV5,211,4,2021-10-30,2023-04-10,Completed
849,2LM2CBGU94P0KFNPV,19,3,2019-06-25,2020-01-19,Completed
850,2LM2CBGU94P0KFNPV,19,3,2022-04-24,2023-03-05,Completed
1022,2P6GC4GUBSDBNCZCR,214,3,2021-11-27,2023-05-18,Completed
1023,2P6GC4GUBSDBNCZCR,86,3,2023-09-11,2024-10-26,Completed
967,2SD52J2RAUD94D0EM,4,3,2019-12-15,2021-09-19,Completed
969,2SD52J2RAUD94D0EM,26,3,2023-05-26,2024-10-20,Completed
970,2SD52J2RAUD94D0EM,108,3,2025-01-28,2025-03-14,Completed
968,2SD52J2RAUD94D0EM,152,3,2025-03-25,2025-08-14,Completed
770,2TL80Y4DE7NRXGPCP,216,1,2019-07-04,2021-02-07,Completed
769,2TL80Y4DE7NRXGPCP,205,1,2024-04-04,2025-05-06,Completed
392,2UHYC7VTWSV4F8CD3,2,4,2019-03-03,2020-01-17,Completed
393,2UHYC7VTWSV4F8CD3,118,4,2026-05-16,,Active
733,2WCZXL9711LESE5D9,79,4,2022-09-24,2023-03-04,Completed
734,2WCZXL9711LESE5D9,80,4,2025-12-20,,Active
627,2Y7PW6UGP4JK8YNLP,18,3,2025-07-08,2027-03-30,Completed
628,2Y7PW6UGP4JK8YNLP,53,3,2026-02-21,,Active
1049,33DCNF325AA35XFX5,97,1,2019-11-03,2020-11-04,Completed
1050,33DCNF325AA35XFX5,219,1,2020-10-05,2022-08-30,Completed
1051,33DCNF325AA35XFX5,57,1,2021-04-25,2021-11-28,Completed
1048,33DCNF325AA35XFX5,17,1,2024-10-21,2025-09-19,Completed
247,34L2W0MRDYAMX3VND,147,2,2020-03-09,2020-04-20,Completed
545,39V6XUWMK20Z0UJLW,80,1,2018-04-25,2018-10-20,Completed
547,39V6XUWMK20Z0UJLW,44,1,2018-09-09,2018-10-18,Completed
546,39V6XUWMK20Z0UJLW,188,1,2025-05-06,2025-08-18,Completed
343,3F4ZW6WK1WCB2M3P5,167,1,2017-04-15,2017-07-05,Completed
342,3F4ZW6WK1WCB2M3P5,116,1,2023-04-29,2023-08-24,Completed
760,3GBTBKDRWWHAA2WAS,116,1,2020-12-30,2022-06-17,Completed
