WarrantyClaimID,ActivityID,SupplierID,ClaimDate,ClaimStatus,ClaimAmountVND
1,13,14,2026-03-20,Submitted,1211012.76
2,48,21,2025-08-01,Paid,232669.91
3,51,5,2025-09-15,Submitted,13666518.5
4,54,17,2026-07-19,Approved,481973.77
5,68,14,2026-07-28,Approved,16244247.11
6,128,8,2025-10-12,Approved,3428907.93
7,173,17,2025-09-05,Paid,2750402.52
8,178,20,2026-03-14,Submitted,1726511.9
9,180,13,2026-04-17,Approved,6004287.37
10,184,18,2026-01-22,Paid,7993500.68
11,187,14,2025-11-04,Approved,4965884.91
12,196,14,2025-08-08,Approved,9808574.65
13,215,1,2026-01-01,Rejected,17113932.34
14,249,10,2025-11-14,Paid,7381871.42
15,253,21,2026-06-02,Rejected,56747.53
16,255,17,2025-10-26,Submitted,21401551.11
17,259,6,2026-05-03,Approved,10724079.86
18,260,5,2026-04-03,Paid,25491497.5
19,271,21,2026-07-22,Paid,3387041.15
20,293,17,2026-03-26,Submitted,1456750.16
21,295,24,2026-02-20,Submitted,7234061.23
22,298,21,2025-10-20,Approved,6583349.27
23,307,8,2026-05-20,Submitted,663798.2
24,314,1,2025-09-07,Submitted,11269290.3
25,317,13,2026-07-04,Approved,3609992.87
26,331,13,2025-11-06,Approved,9459491.28
27,347,21,2026-01-31,Paid,8286454.38
28,370,20,2025-11-30,Paid,9029764.72
29,388,18,2026-06-16,Paid,882701.65
30,413,21,2026-01-14,Paid,103725.31
31,460,21,2025-09-23,Paid,16003204.0
32,465,14,2026-03-29,Approved,7515868.17
33,474,10,2026-01-22,Submitted,7977757.32
34,481,19,2025-12-07,Paid,5976623.2
35,486,21,2025-10-20,Rejected,12976101.94
36,541,24,2026-07-31,Paid,1752162.2
37,578,5,2026-04-30,Approved,4341992.36
38,586,5,2025-09-27,Approved,2189047.0
39,603,14,2026-01-03,Approved,1667681.05
40,612,8,2026-01-19,Paid,55908.05
41,622,17,2026-05-11,Approved,1160188.3
42,625,19,2025-09-27,Paid,5085436.12
43,686,19,2025-11-06,Paid,1868148.11
44,687,10,2026-06-08,Submitted,7843575.32
45,738,21,2025-08-08,Paid,18512425.54
46,740,6,2025-11-17,Paid,764712.18
47,744,13,2026-07-09,Paid,13135318.37
48,760,17,2025-11-23,Approved,3161822.17
49,768,8,2026-02-14,Approved,679092.43
50,770,19,2025-12-18,Paid,6803815.81
51,779,1,2026-05-30,Rejected,9827176.67
52,780,19,2026-05-29,Paid,5572631.4
53,782,17,2025-11-30,Rejected,7811918.58
54,797,20,2026-01-18,Approved,8317967.56
55,799,14,2025-10-31,Approved,4122264.5
56,800,21,2025-11-25,Paid,10477092.24
57,806,21,2026-02-11,Approved,4883646.69
58,816,24,2026-03-19,Paid,7939950.41
59,853,10,2025-10-04,Approved,535961.07
60,865,17,2026-04-20,Approved,601027.81
61,881,17,2025-09-30,Paid,4759158.08
62,885,1,2026-06-09,Paid,8851538.44
63,891,17,2026-04-01,Approved,12325806.82
64,893,8,2026-01-27,Submitted,103045.97
65,908,5,2026-02-14,Paid,1748651.15
66,913,6,2026-01-18,Rejected,2506076.18
67,936,19,2025-10-26,Paid,11218830.14
68,939,19,2025-11-16,Approved,14056863.03
69,970,10,2026-06-06,Rejected,6453353.2
70,1000,13,2026-05-04,Rejected,7931558.57
71,1001,13,2025-08-28,Approved,6570090.7
72,1011,5,2026-02-13,Approved,5898834.8
73,1034,17,2025-12-01,Rejected,90147.37
74,1074,24,2025-12-12,Submitted,2031748.22
75,1076,17,2026-05-28,Rejected,567969.62
76,1093,21,2026-07-08,Approved,8976024.58
77,1099,13,2025-11-09,Rejected,2780185.79
78,1114,13,2026-03-27,Approved,18113292.91
79,1116,5,2025-10-16,Rejected,11585905.38
80,1121,21,2026-03-20,Approved,174714.28
81,1122,13,2026-07-10,Rejected,13249833.58
82,1131,17,2026-06-29,Paid,503184.16
83,1150,21,2026-07-03,Approved,6057058.84
84,1152,19,2026-07-13,Submitted,7220785.77
85,1160,21,2025-08-30,Submitted,12818102.16
86,1178,13,2026-03-31,Paid,6300299.8
87,1204,21,2026-03-12,Paid,2633555.22
88,1216,13,2025-12-24,Approved,5899692.84
89,1220,17,2025-12-01,Approved,4077763.46
90,1222,8,2026-03-04,Rejected,12323796.12
91,1236,21,2026-03-22,Paid,4291320.03
92,1320,21,2026-03-26,Rejected,303073.93
93,1334,21,2026-04-20,Approved,11632308.19
94,1340,24,2025-12-17,Paid,10624169.18
95,1350,21,2025-08-28,Approved,1779491.89
96,1351,13,2026-06-17,Submitted,8378758.08
97,1359,6,2026-05-16,Approved,13155069.42
98,1362,5,2025-12-23,Paid,4689384.61
99,1367,6,2025-11-03,Rejected,820100.57
100,1378,19,2026-06-20,Submitted,7218910.41
101,1381,13,2025-12-29,Approved,3757868.18
102,1413,21,2026-01-08,Approved,9288034.86
